b,t,scale,MW
ccgt,2021-01-23T00:00:00,1.0,19136.632023169317
ccgt,2021-01-23T03:00:00,1.0,20780.108517211007
ccgt,2021-01-23T06:00:00,1.0,21876.323625320812
ccgt,2021-01-23T09:00:00,1.0,20000.68762571204
ccgt,2021-01-23T12:00:00,1.0,21618.994375380407
ccgt,2021-01-23T15:00:00,1.0,30783.12833
ccgt,2021-01-23T18:00:00,1.0,30783.12833
ccgt,2021-01-23T21:00:00,1.0,30783.12833
ccgt,2021-01-24T00:00:00,1.0,24406.29530395244
ccgt,2021-01-24T03:00:00,1.0,20059.601650942273
ccgt,2021-01-24T06:00:00,1.0,20871.48186437264
ccgt,2021-01-24T09:00:00,1.0,24508.16704751286
ccgt,2021-01-24T12:00:00,1.0,25722.267744628578
ccgt,2021-01-24T15:00:00,1.0,30783.12833
ccgt,2021-01-24T18:00:00,1.0,30783.12833
ccgt,2021-01-24T21:00:00,1.0,30783.12833
ccgt,2021-01-25T00:00:00,1.0,30563.13348107172
ccgt,2021-01-25T03:00:00,1.0,30783.12833
ccgt,2021-01-25T06:00:00,1.0,30783.12833
ccgt,2021-01-25T09:00:00,1.0,30783.12833
ccgt,2021-01-25T12:00:00,1.0,30783.12833
ccgt,2021-01-25T15:00:00,1.0,30783.12833
ccgt,2021-01-25T18:00:00,1.0,30783.12833
ccgt,2021-01-25T21:00:00,1.0,30783.12833
ccgt,2021-01-26T00:00:00,1.0,30783.12833
ccgt,2021-01-26T03:00:00,1.0,30783.12833
ccgt,2021-01-26T06:00:00,1.0,30783.12833
ccgt,2021-01-26T09:00:00,1.0,30783.12833
ccgt,2021-01-26T12:00:00,1.0,30783.12833
ccgt,2021-01-26T15:00:00,1.0,30783.12833
ccgt,2021-01-26T18:00:00,1.0,30783.12833
ccgt,2021-01-26T21:00:00,1.0,30783.12833
ccgt,2021-01-27T00:00:00,1.0,30783.12833
ccgt,2021-01-27T03:00:00,1.0,30783.12833
ccgt,2021-01-27T06:00:00,1.0,30783.12833
ccgt,2021-01-27T09:00:00,1.0,30783.12833
ccgt,2021-01-27T12:00:00,1.0,30783.12833
ccgt,2021-01-27T15:00:00,1.0,30783.12833
ccgt,2021-01-27T18:00:00,1.0,30783.12833
ccgt,2021-01-27T21:00:00,1.0,30783.12833
ccgt,2021-01-28T00:00:00,1.0,30783.12833
ccgt,2021-01-28T03:00:00,1.0,30783.12833
ccgt,2021-01-28T06:00:00,1.0,30783.12833
ccgt,2021-01-28T09:00:00,1.0,30783.12833
ccgt,2021-01-28T12:00:00,1.0,30783.12833
ccgt,2021-01-28T15:00:00,1.0,30783.12833
ccgt,2021-01-28T18:00:00,1.0,30783.12833
ccgt,2021-01-28T21:00:00,1.0,30783.12833
ccgt,2021-01-29T00:00:00,1.0,30783.12833
ccgt,2021-01-29T03:00:00,1.0,30783.12833
ccgt,2021-01-29T06:00:00,1.0,30783.12833
ccgt,2021-01-29T09:00:00,1.0,30783.12833
ccgt,2021-01-29T12:00:00,1.0,30783.12833
ccgt,2021-01-29T15:00:00,1.0,30783.12833
ccgt,2021-01-29T18:00:00,1.0,30783.12833
ccgt,2021-01-29T21:00:00,1.0,30783.12833
ccgt,2021-01-30T00:00:00,1.0,30783.12833
ccgt,2021-01-30T03:00:00,1.0,30783.12833
ccgt,2021-01-30T06:00:00,1.0,30783.12833
ccgt,2021-01-30T09:00:00,1.0,30783.12833
ccgt,2021-01-30T12:00:00,1.0,30783.12833
ccgt,2021-01-30T15:00:00,1.0,30783.12833
ccgt,2021-01-30T18:00:00,1.0,30783.12833
ccgt,2021-01-30T21:00:00,1.0,30783.12833
ccgt,2021-01-31T00:00:00,1.0,30783.12833
ccgt,2021-01-31T03:00:00,1.0,30783.12833
ccgt,2021-01-31T06:00:00,1.0,30783.12833
ccgt,2021-01-31T09:00:00,1.0,30783.12833
ccgt,2021-01-31T12:00:00,1.0,30783.12833
ccgt,2021-01-31T15:00:00,1.0,30783.12833
ccgt,2021-01-31T18:00:00,1.0,30783.12833
ccgt,2021-01-31T21:00:00,1.0,30783.12833
ccgt,2021-02-01T00:00:00,1.0,30783.12833
ccgt,2021-02-01T03:00:00,1.0,30783.12833
ccgt,2021-02-01T06:00:00,1.0,30783.12833
ccgt,2021-02-01T09:00:00,1.0,30783.12833
ccgt,2021-02-01T12:00:00,1.0,30783.12833
ccgt,2021-02-01T15:00:00,1.0,30783.12833
