scenario,status,objective_meur,solve_time_s,dispatch_mode
stylised-df-severe-decarb-v4,ok,19621.6,43.2,unconstrained operational dispatch
stylised-df-severe-decarb-smr-4.5-v4,ok,12029.88,43.4,unconstrained operational dispatch
