scenario,scope,description,demand_twh,nuclear_generation_twh,nuclear_capacity_factor_pct,ccgt_generation_twh,biomass_generation_twh,renewable_generation_twh,renewable_curtailment_twh,peak_load_shedding_gw,eens_gwh,eens_pct_demand,snapshots_with_load_shedding,equivalent_load_shedding_duration_hours,max_consecutive_load_shedding_hours,co2_mt,variable_opex_excl_voll_meur,load_shedding_penalty_meur,total_operational_cost_meur,dispatch_mode,scenario_key
Decarbonised no nuclear,Decarbonised no nuclear,"a stylised decarbonised-fleet adequacy sensitivity, not a forecast of the German power system",21.1519,0.0,0.0,9.4931,2.5515,3.4922,0.0098,18.0634,1748.3405,8.2657,63,189.0,21.0,5.4185,797.79,174834.05,175631.84,unconstrained operational dispatch,stylised-df-severe-decarb-v4
Decarbonised + 4.5 GW SMR,Decarbonised + 4.5 GW SMR,"a stylised decarbonised-fleet adequacy sensitivity, not a forecast of the German power system",21.1519,1.3043,86.26,9.3594,2.511,3.4922,0.0098,14.0134,1064.2436,5.0314,49,147.0,15.0,5.1043,764.77,106424.36,107189.14,unconstrained operational dispatch,stylised-df-severe-decarb-smr-4.5-v4
