scenario,scope,description,demand_twh,nuclear_generation_twh,nuclear_capacity_factor_pct,ccgt_generation_twh,biomass_generation_twh,renewable_generation_twh,renewable_curtailment_twh,peak_load_shedding_gw,eens_gwh,eens_pct_demand,snapshots_with_load_shedding,equivalent_load_shedding_duration_hours,max_consecutive_load_shedding_hours,co2_mt,variable_opex_excl_voll_meur,load_shedding_penalty_meur,total_operational_cost_meur,dispatch_mode,scenario_key
Decarbonised no nuclear,Decarbonised no nuclear,"a stylised decarbonised-fleet adequacy sensitivity, not a forecast of the German power system",42.7419,0.0,0.0,15.6736,4.7581,15.1016,0.5592,18.0634,1840.0048,4.3049,69,207.0,21.0,8.2826,1221.55,184000.48,185222.03,unconstrained operational dispatch,stylised-df-severe-decarb-v4
Decarbonised + 4.5 GW SMR,Decarbonised + 4.5 GW SMR,"a stylised decarbonised-fleet adequacy sensitivity, not a forecast of the German power system",42.7419,2.4629,81.44,14.8819,4.613,15.1016,0.5592,14.0134,1088.6964,2.5471,52,156.0,15.0,7.5543,1142.92,108869.64,110012.56,unconstrained operational dispatch,stylised-df-severe-decarb-smr-4.5-v4
