block,included_carriers,installed_capacity_MW,marginal_cost_EUR_per_MWh,co2_t_per_MWh_el
vre,"onwind,offwind-ac,offwind-dc,offwind-float,solar,solar-hsat",133267.06292,0.020978361947976736,0.0
coal,coal,20351.945,21.91249234753832,0.8738195161041712
lignite,lignite,19457.035,27.628778720835985,1.1470808393703271
ccgt,CCGT,30783.128330000003,48.79586635999518,0.36992160032619387
peaker,"OCGT,oil",11797.089709000002,90.520385846289,0.5902599643939171
other_firm,"biomass,waste,geothermal",11174.560833,23.952137183414994,0.07224884637218029
nuclear,nuclear-smr,4500.0,12.09090909090909,0.0
