block,timestamp,available_MW
vre,2021-01-18 00:00:00,16517.958369604952
vre,2021-01-18 03:00:00,19463.791485806854
vre,2021-01-18 06:00:00,26801.469818078513
vre,2021-01-18 09:00:00,37615.39266313302
vre,2021-01-18 12:00:00,46578.00413405578
vre,2021-01-18 15:00:00,47283.78642243214
vre,2021-01-18 18:00:00,51412.15829023274
vre,2021-01-18 21:00:00,50063.1291549806
vre,2021-01-19 00:00:00,50674.788162237404
vre,2021-01-19 03:00:00,54616.10255889582
vre,2021-01-19 06:00:00,61688.768265783634
vre,2021-01-19 09:00:00,70813.6321867991
vre,2021-01-19 12:00:00,66933.65906784698
vre,2021-01-19 15:00:00,57525.40635707279
vre,2021-01-19 18:00:00,59641.14671548704
vre,2021-01-19 21:00:00,65990.12214522404
vre,2021-01-20 00:00:00,70494.20187967128
vre,2021-01-20 03:00:00,71351.31703776286
vre,2021-01-20 06:00:00,72282.67088105605
vre,2021-01-20 09:00:00,77230.44063487157
vre,2021-01-20 12:00:00,74583.91136624358
vre,2021-01-20 15:00:00,66988.02451864629
vre,2021-01-20 18:00:00,70187.52177554337
vre,2021-01-20 21:00:00,72865.71560333247
vre,2021-01-21 00:00:00,76725.7928831872
vre,2021-01-21 03:00:00,80325.62849916943
vre,2021-01-21 06:00:00,84995.30943024532
vre,2021-01-21 09:00:00,90299.10638706325
vre,2021-01-21 12:00:00,80606.21779544954
vre,2021-01-21 15:00:00,72252.79801256029
vre,2021-01-21 18:00:00,70529.88465966277
vre,2021-01-21 21:00:00,70452.77687600946
vre,2021-01-22 00:00:00,72052.74636284163
vre,2021-01-22 03:00:00,76190.60053204963
vre,2021-01-22 06:00:00,66549.2880652234
vre,2021-01-22 09:00:00,58662.667595858715
vre,2021-01-22 12:00:00,48807.87087910621
vre,2021-01-22 15:00:00,35885.37444473137
vre,2021-01-22 18:00:00,33145.08489444819
vre,2021-01-22 21:00:00,27393.70584090732
vre,2021-01-23 00:00:00,19866.398810497365
vre,2021-01-23 03:00:00,17203.20481645566
vre,2021-01-23 06:00:00,22866.03220834587
vre,2021-01-23 09:00:00,30900.462374621307
vre,2021-01-23 12:00:00,26268.004791619598
vre,2021-01-23 15:00:00,15251.311924047754
vre,2021-01-23 18:00:00,13147.622344538113
vre,2021-01-23 21:00:00,8301.393668548515
vre,2021-01-24 00:00:00,9583.145529714238
vre,2021-01-24 03:00:00,13764.495849391069
vre,2021-01-24 06:00:00,17314.73813596069
vre,2021-01-24 09:00:00,21901.34711948715
vre,2021-01-24 12:00:00,18637.213089038094
vre,2021-01-24 15:00:00,9863.079591298996
vre,2021-01-24 18:00:00,9207.893107415148
vre,2021-01-24 21:00:00,8057.124860309546
vre,2021-01-25 00:00:00,7348.532373041723
vre,2021-01-25 03:00:00,5969.486039346239
vre,2021-01-25 06:00:00,6723.31040307047
vre,2021-01-25 09:00:00,12508.751927759997
vre,2021-01-25 12:00:00,13239.290028807933
vre,2021-01-25 15:00:00,11971.413488456867
vre,2021-01-25 18:00:00,15953.655643337144
vre,2021-01-25 21:00:00,15412.264335087515
vre,2021-01-26 00:00:00,12497.64662631285
vre,2021-01-26 03:00:00,11870.085837184119
vre,2021-01-26 06:00:00,11353.819389987293
vre,2021-01-26 09:00:00,11179.643094201274
vre,2021-01-26 12:00:00,9116.971760743643
vre,2021-01-26 15:00:00,6423.553320398072
vre,2021-01-26 18:00:00,5615.099145239931
vre,2021-01-26 21:00:00,5249.825520205934
vre,2021-01-27 00:00:00,5462.134421199928
vre,2021-01-27 03:00:00,5481.484433188286
vre,2021-01-27 06:00:00,5841.471635414923
vre,2021-01-27 09:00:00,7212.883881265145
vre,2021-01-27 12:00:00,5653.033434732506
vre,2021-01-27 15:00:00,3788.4928233405767
vre,2021-01-27 18:00:00,4418.9097226222375
vre,2021-01-27 21:00:00,5280.010325241775
vre,2021-01-28 00:00:00,4827.181346326028
vre,2021-01-28 03:00:00,3575.159469989852
vre,2021-01-28 06:00:00,2993.5170116639188
vre,2021-01-28 09:00:00,3759.4860240304597
vre,2021-01-28 12:00:00,4153.932204314695
vre,2021-01-28 15:00:00,3678.5747913111472
vre,2021-01-28 18:00:00,4542.693441966568
vre,2021-01-28 21:00:00,3805.284650109416
vre,2021-01-29 00:00:00,4269.197752636501
vre,2021-01-29 03:00:00,5883.316004698149
vre,2021-01-29 06:00:00,8822.639917378418
vre,2021-01-29 09:00:00,10451.327276126836
vre,2021-01-29 12:00:00,10491.546712016956
vre,2021-01-29 15:00:00,9564.38789147524
vre,2021-01-29 18:00:00,8582.05408732099
vre,2021-01-29 21:00:00,8368.70860579371
vre,2021-01-30 00:00:00,7046.3222357638515
vre,2021-01-30 03:00:00,5150.361357753183
vre,2021-01-30 06:00:00,3298.2528982230083
vre,2021-01-30 09:00:00,2588.0486485820816
vre,2021-01-30 12:00:00,1972.0852906294544
vre,2021-01-30 15:00:00,1445.7220722952513
vre,2021-01-30 18:00:00,1915.5562491543526
vre,2021-01-30 21:00:00,2244.3398684720273
vre,2021-01-31 00:00:00,2515.9069889893817
vre,2021-01-31 03:00:00,3170.1498445181596
vre,2021-01-31 06:00:00,4111.699381418828
vre,2021-01-31 09:00:00,4852.471322722997
vre,2021-01-31 12:00:00,3354.611142304268
vre,2021-01-31 15:00:00,2040.8086045564867
vre,2021-01-31 18:00:00,3464.203772466679
vre,2021-01-31 21:00:00,4324.670141002542
vre,2021-02-01 00:00:00,5238.753763463918
