b,t,scale,MW
ccgt,2021-02-01T09:00:00,1.0,16540.383678020917
ccgt,2021-02-01T12:00:00,1.0,17198.38031217685
ccgt,2021-02-01T15:00:00,1.0,18651.06583839008
ccgt,2021-02-01T18:00:00,1.0,15130.682160222474
ccgt,2021-02-01T21:00:00,1.0,5796.103583024695
ccgt,2021-02-02T00:00:00,1.0,0.0
ccgt,2021-02-02T03:00:00,1.0,4627.658144026016
ccgt,2021-02-02T06:00:00,1.0,18486.56518413654
ccgt,2021-02-02T09:00:00,1.0,20496.312569613867
ccgt,2021-02-02T12:00:00,1.0,18299.921123043598
ccgt,2021-02-02T15:00:00,1.0,17726.368906924174
ccgt,2021-02-02T18:00:00,1.0,12243.51406703697
ccgt,2021-02-02T21:00:00,1.0,453.34132703202704
ccgt,2021-02-03T00:00:00,1.0,0.0
ccgt,2021-02-03T03:00:00,1.0,0.0
ccgt,2021-02-03T06:00:00,1.0,13644.201742246609
ccgt,2021-02-03T09:00:00,1.0,17281.07061230357
ccgt,2021-02-03T12:00:00,1.0,15048.986794258664
ccgt,2021-02-03T15:00:00,1.0,13742.522802160493
ccgt,2021-02-03T18:00:00,1.0,9095.894223126274
ccgt,2021-02-03T21:00:00,1.0,0.0
ccgt,2021-02-04T00:00:00,1.0,0.0
ccgt,2021-02-04T03:00:00,1.0,0.0
ccgt,2021-02-04T06:00:00,1.0,13017.829161397553
ccgt,2021-02-04T09:00:00,1.0,13984.31709980443
ccgt,2021-02-04T12:00:00,1.0,12128.42397305874
ccgt,2021-02-04T15:00:00,1.0,15784.51529114668
ccgt,2021-02-04T18:00:00,1.0,12517.228345364238
ccgt,2021-02-04T21:00:00,1.0,1959.5557739870674
ccgt,2021-02-05T00:00:00,1.0,0.0
ccgt,2021-02-05T03:00:00,1.0,1167.4282659458804
ccgt,2021-02-05T06:00:00,1.0,12702.264841725868
ccgt,2021-02-05T09:00:00,1.0,14437.544894792889
ccgt,2021-02-05T12:00:00,1.0,11749.277411185827
ccgt,2021-02-05T15:00:00,1.0,12397.195895244931
ccgt,2021-02-05T18:00:00,1.0,7680.675197607863
ccgt,2021-02-05T21:00:00,1.0,0.0
ccgt,2021-02-06T00:00:00,1.0,0.0
ccgt,2021-02-06T03:00:00,1.0,0.0
ccgt,2021-02-06T06:00:00,1.0,0.0
ccgt,2021-02-06T09:00:00,1.0,0.0
ccgt,2021-02-06T12:00:00,1.0,0.0
ccgt,2021-02-06T15:00:00,1.0,0.0
ccgt,2021-02-06T18:00:00,1.0,0.0
ccgt,2021-02-06T21:00:00,1.0,0.0
ccgt,2021-02-07T00:00:00,1.0,0.0
ccgt,2021-02-07T03:00:00,1.0,0.0
ccgt,2021-02-07T06:00:00,1.0,0.0
ccgt,2021-02-07T09:00:00,1.0,0.0
ccgt,2021-02-07T12:00:00,1.0,0.0
ccgt,2021-02-07T15:00:00,1.0,0.0
ccgt,2021-02-07T18:00:00,1.0,0.0
ccgt,2021-02-07T21:00:00,1.0,0.0
ccgt,2021-02-08T00:00:00,1.0,0.0
ccgt,2021-02-08T03:00:00,1.0,0.0
ccgt,2021-02-08T06:00:00,1.0,0.0
ccgt,2021-02-08T09:00:00,1.0,0.0
ccgt,2021-02-08T12:00:00,1.0,0.0
ccgt,2021-02-08T15:00:00,1.0,0.0
ccgt,2021-02-08T18:00:00,1.0,0.0
ccgt,2021-02-08T21:00:00,1.0,0.0
ccgt,2021-02-09T00:00:00,1.0,0.0
ccgt,2021-02-09T03:00:00,1.0,0.0
ccgt,2021-02-09T06:00:00,1.0,618.5733712332258
ccgt,2021-02-09T09:00:00,1.0,0.0
ccgt,2021-02-09T12:00:00,1.0,1698.278747202563
ccgt,2021-02-09T15:00:00,1.0,5714.407233720685
ccgt,2021-02-09T18:00:00,1.0,2566.011591193117
ccgt,2021-02-09T21:00:00,1.0,0.0
ccgt,2021-02-10T00:00:00,1.0,0.0
ccgt,2021-02-10T03:00:00,1.0,0.0
ccgt,2021-02-10T06:00:00,1.0,1220.8902959001825
ccgt,2021-02-10T09:00:00,1.0,0.0
ccgt,2021-02-10T12:00:00,1.0,0.0
ccgt,2021-02-10T15:00:00,1.0,0.0
ccgt,2021-02-10T18:00:00,1.0,0.0
ccgt,2021-02-10T21:00:00,1.0,0.0
ccgt,2021-02-11T00:00:00,1.0,0.0
ccgt,2021-02-11T03:00:00,1.0,0.0
ccgt,2021-02-11T06:00:00,1.0,9271.951208243536
ccgt,2021-02-11T09:00:00,1.0,6922.739203631452
ccgt,2021-02-11T12:00:00,1.0,6750.769251688991
ccgt,2021-02-11T15:00:00,1.0,12419.941591659132
ccgt,2021-02-11T18:00:00,1.0,6102.363886426709
ccgt,2021-02-11T21:00:00,1.0,0.0
ccgt,2021-02-12T00:00:00,1.0,0.0
ccgt,2021-02-12T03:00:00,1.0,0.0
ccgt,2021-02-12T06:00:00,1.0,0.0
ccgt,2021-02-12T09:00:00,1.0,0.0
ccgt,2021-02-12T12:00:00,1.0,0.0
ccgt,2021-02-12T15:00:00,1.0,0.0
ccgt,2021-02-12T18:00:00,1.0,0.0
ccgt,2021-02-12T21:00:00,1.0,0.0
ccgt,2021-02-13T00:00:00,1.0,0.0
ccgt,2021-02-13T03:00:00,1.0,0.0
ccgt,2021-02-13T06:00:00,1.0,0.0
ccgt,2021-02-13T09:00:00,1.0,0.0
ccgt,2021-02-13T12:00:00,1.0,0.0
ccgt,2021-02-13T15:00:00,1.0,652.8022469912939
ccgt,2021-02-13T18:00:00,1.0,0.0
ccgt,2021-02-13T21:00:00,1.0,0.0
ccgt,2021-02-14T00:00:00,1.0,0.0
ccgt,2021-02-14T03:00:00,1.0,0.0
ccgt,2021-02-14T06:00:00,1.0,0.0
ccgt,2021-02-14T09:00:00,1.0,0.0
ccgt,2021-02-14T12:00:00,1.0,0.0
ccgt,2021-02-14T15:00:00,1.0,0.0
ccgt,2021-02-14T18:00:00,1.0,0.0
ccgt,2021-02-14T21:00:00,1.0,0.0
coal,2021-01-18T00:00:00,1.0,20351.945
coal,2021-01-18T03:00:00,1.0,20351.945
coal,2021-01-18T06:00:00,1.0,20351.945
coal,2021-01-18T09:00:00,1.0,20351.945
coal,2021-01-18T12:00:00,1.0,20351.945
coal,2021-01-18T15:00:00,1.0,20351.945
coal,2021-01-18T18:00:00,1.0,18118.404209767272
coal,2021-01-18T21:00:00,1.0,9640.517511686085
coal,2021-01-19T00:00:00,1.0,3542.821837762589
coal,2021-01-19T03:00:00,1.0,5201.524941104195
coal,2021-01-19T06:00:00,1.0,12076.110067549722
coal,2021-01-19T09:00:00,1.0,6509.5578132009105
coal,2021-01-19T12:00:00,1.0,8216.278432153049
coal,2021-01-19T15:00:00,1.0,16835.92197626055
coal,2021-01-19T18:00:00,1.0,9620.16411784631
coal,2021-01-19T21:00:00,1.0,0.0
coal,2021-01-20T00:00:00,1.0,0.0
coal,2021-01-20T03:00:00,1.0,0.0
coal,2021-01-20T06:00:00,1.0,1247.8032856106292
coal,2021-01-20T09:00:00,1.0,0.0
coal,2021-01-20T12:00:00,1.0,0.0
coal,2021-01-20T15:00:00,1.0,6794.329648020401
coal,2021-01-20T18:00:00,1.0,99.35739112331066
coal,2021-01-20T21:00:00,1.0,0.0
coal,2021-01-21T00:00:00,1.0,0.0
coal,2021-01-21T03:00:00,1.0,0.0
coal,2021-01-21T06:00:00,1.0,0.0
coal,2021-01-21T09:00:00,1.0,0.0
coal,2021-01-21T12:00:00,1.0,0.0
coal,2021-01-21T15:00:00,1.0,1558.3211541063647
coal,2021-01-21T18:00:00,1.0,0.0
coal,2021-01-21T21:00:00,1.0,0.0
coal,2021-01-22T00:00:00,1.0,0.0
coal,2021-01-22T03:00:00,1.0,0.0
coal,2021-01-22T06:00:00,1.0,5707.56110144328
coal,2021-01-22T09:00:00,1.0,14236.574904141293
coal,2021-01-22T12:00:00,1.0,20351.945
coal,2021-01-22T15:00:00,1.0,20351.945
coal,2021-01-22T18:00:00,1.0,20351.945
coal,2021-01-22T21:00:00,1.0,20351.945
coal,2021-01-23T00:00:00,1.0,20351.945
coal,2021-01-23T03:00:00,1.0,20351.945
coal,2021-01-23T06:00:00,1.0,20351.945
coal,2021-01-23T09:00:00,1.0,20351.945
coal,2021-01-23T12:00:00,1.0,20351.945
coal,2021-01-23T15:00:00,1.0,20351.945
coal,2021-01-23T18:00:00,1.0,20351.945
