n,t,scale,MW
DE,2021-02-02T03:00:00,1.0,0.0
DE,2021-02-02T06:00:00,1.0,0.0
DE,2021-02-02T09:00:00,1.0,0.0
DE,2021-02-02T12:00:00,1.0,0.0
DE,2021-02-02T15:00:00,1.0,0.0
DE,2021-02-02T18:00:00,1.0,0.0
DE,2021-02-02T21:00:00,1.0,0.0
DE,2021-02-03T00:00:00,1.0,0.0
DE,2021-02-03T03:00:00,1.0,0.0
DE,2021-02-03T06:00:00,1.0,0.0
DE,2021-02-03T09:00:00,1.0,0.0
DE,2021-02-03T12:00:00,1.0,0.0
DE,2021-02-03T15:00:00,1.0,0.0
DE,2021-02-03T18:00:00,1.0,0.0
DE,2021-02-03T21:00:00,1.0,0.0
DE,2021-02-04T00:00:00,1.0,0.0
DE,2021-02-04T03:00:00,1.0,0.0
DE,2021-02-04T06:00:00,1.0,0.0
DE,2021-02-04T09:00:00,1.0,0.0
DE,2021-02-04T12:00:00,1.0,0.0
DE,2021-02-04T15:00:00,1.0,0.0
DE,2021-02-04T18:00:00,1.0,0.0
DE,2021-02-04T21:00:00,1.0,0.0
DE,2021-02-05T00:00:00,1.0,0.0
DE,2021-02-05T03:00:00,1.0,0.0
DE,2021-02-05T06:00:00,1.0,0.0
DE,2021-02-05T09:00:00,1.0,0.0
DE,2021-02-05T12:00:00,1.0,0.0
DE,2021-02-05T15:00:00,1.0,0.0
DE,2021-02-05T18:00:00,1.0,0.0
DE,2021-02-05T21:00:00,1.0,0.0
DE,2021-02-06T00:00:00,1.0,0.0
DE,2021-02-06T03:00:00,1.0,0.0
DE,2021-02-06T06:00:00,1.0,0.0
DE,2021-02-06T09:00:00,1.0,0.0
DE,2021-02-06T12:00:00,1.0,0.0
DE,2021-02-06T15:00:00,1.0,0.0
DE,2021-02-06T18:00:00,1.0,0.0
DE,2021-02-06T21:00:00,1.0,0.0
DE,2021-02-07T00:00:00,1.0,0.0
DE,2021-02-07T03:00:00,1.0,0.0
DE,2021-02-07T06:00:00,1.0,0.0
DE,2021-02-07T09:00:00,1.0,0.0
DE,2021-02-07T12:00:00,1.0,0.0
DE,2021-02-07T15:00:00,1.0,0.0
DE,2021-02-07T18:00:00,1.0,0.0
DE,2021-02-07T21:00:00,1.0,0.0
DE,2021-02-08T00:00:00,1.0,0.0
DE,2021-02-08T03:00:00,1.0,0.0
DE,2021-02-08T06:00:00,1.0,0.0
DE,2021-02-08T09:00:00,1.0,0.0
DE,2021-02-08T12:00:00,1.0,0.0
DE,2021-02-08T15:00:00,1.0,0.0
DE,2021-02-08T18:00:00,1.0,0.0
DE,2021-02-08T21:00:00,1.0,0.0
