n,k,t,scale,MW
DE,onwind,2021-01-30T09:00:00,1.0,1026.915848778268
DE,onwind,2021-01-30T12:00:00,1.0,883.4625494260232
DE,onwind,2021-01-30T15:00:00,1.0,1248.2535933121185
DE,onwind,2021-01-30T18:00:00,1.0,1760.3206171880715
DE,onwind,2021-01-30T21:00:00,1.0,1925.759165840933
DE,onwind,2021-01-31T00:00:00,1.0,1902.3035791469679
DE,onwind,2021-01-31T03:00:00,1.0,2183.4409190702754
DE,onwind,2021-01-31T06:00:00,1.0,2491.909777308708
DE,onwind,2021-01-31T09:00:00,1.0,1606.0992281611584
DE,onwind,2021-01-31T12:00:00,1.0,892.051236342051
DE,onwind,2021-01-31T15:00:00,1.0,1538.586100378792
DE,onwind,2021-01-31T18:00:00,1.0,2706.1250107403416
DE,onwind,2021-01-31T21:00:00,1.0,3087.310112323175
DE,onwind,2021-02-01T00:00:00,1.0,3645.379417924877
DE,onwind,2021-02-01T03:00:00,1.0,3896.9805260238995
DE,onwind,2021-02-01T06:00:00,1.0,4120.011235467187
DE,onwind,2021-02-01T09:00:00,1.0,2924.888206774661
DE,onwind,2021-02-01T12:00:00,1.0,1678.632888622295
DE,onwind,2021-02-01T15:00:00,1.0,1762.5447811628962
DE,onwind,2021-02-01T18:00:00,1.0,1526.2459387555482
DE,onwind,2021-02-01T21:00:00,1.0,1215.5434112818336
DE,onwind,2021-02-02T00:00:00,1.0,1483.2434747603238
DE,onwind,2021-02-02T03:00:00,1.0,1526.9211538140155
DE,onwind,2021-02-02T06:00:00,1.0,1373.3811128442776
DE,onwind,2021-02-02T09:00:00,1.0,1624.6214904125407
DE,onwind,2021-02-02T12:00:00,1.0,2156.7750887197744
DE,onwind,2021-02-02T15:00:00,1.0,3015.9702952713533
DE,onwind,2021-02-02T18:00:00,1.0,3556.660479031865
DE,onwind,2021-02-02T21:00:00,1.0,4155.275439030684
DE,onwind,2021-02-03T00:00:00,1.0,4325.948469759142
DE,onwind,2021-02-03T03:00:00,1.0,4977.312881571259
DE,onwind,2021-02-03T06:00:00,1.0,5125.012752516812
DE,onwind,2021-02-03T09:00:00,1.0,4585.591796794259
DE,onwind,2021-02-03T12:00:00,1.0,5283.909128933632
DE,onwind,2021-02-03T15:00:00,1.0,7137.466480136092
DE,onwind,2021-02-03T18:00:00,1.0,7793.4431387131635
DE,onwind,2021-02-03T21:00:00,1.0,8206.837059370038
DE,onwind,2021-02-04T00:00:00,1.0,7990.849604342149
DE,onwind,2021-02-04T03:00:00,1.0,6622.678566094585
DE,onwind,2021-02-04T06:00:00,1.0,4516.273982165986
DE,onwind,2021-02-04T09:00:00,1.0,3038.8901416449175
DE,onwind,2021-02-04T12:00:00,1.0,1775.936487923666
DE,onwind,2021-02-04T15:00:00,1.0,923.1578827595667
DE,onwind,2021-02-04T18:00:00,1.0,1259.218446838188
DE,onwind,2021-02-04T21:00:00,1.0,1795.595760577781
DE,onwind,2021-02-05T00:00:00,1.0,2209.7015799066003
DE,onwind,2021-02-05T03:00:00,1.0,2605.5011976555393
DE,onwind,2021-02-05T06:00:00,1.0,3531.2153917142377
DE,onwind,2021-02-05T09:00:00,1.0,3295.94050486735
DE,onwind,2021-02-05T12:00:00,1.0,3112.187001793654
DE,onwind,2021-02-05T15:00:00,1.0,3853.4146113288225
DE,onwind,2021-02-05T18:00:00,1.0,4529.344087769646
DE,onwind,2021-02-05T21:00:00,1.0,4910.9213295331565
DE,onwind,2021-02-06T00:00:00,1.0,5327.165366582772
DE,onwind,2021-02-06T03:00:00,1.0,5924.073111259145
DE,onwind,2021-02-06T06:00:00,1.0,7907.152227671594
DE,onwind,2021-02-06T09:00:00,1.0,10251.702976318547
DE,onwind,2021-02-06T12:00:00,1.0,13979.031382428238
DE,onwind,2021-02-06T15:00:00,1.0,19355.911875798396
DE,onwind,2021-02-06T18:00:00,1.0,26074.95003469551
DE,onwind,2021-02-06T21:00:00,1.0,30115.94655612777
DE,onwind,2021-02-07T00:00:00,1.0,35793.192211539725
DE,onwind,2021-02-07T03:00:00,1.0,40977.71137213855
DE,onwind,2021-02-07T06:00:00,1.0,45099.190897991495
DE,onwind,2021-02-07T09:00:00,1.0,46157.2116116533
DE,onwind,2021-02-07T12:00:00,1.0,47290.808403938616
DE,onwind,2021-02-07T15:00:00,1.0,50256.35119811072
DE,onwind,2021-02-07T18:00:00,1.0,51299.65375142376
DE,onwind,2021-02-07T21:00:00,1.0,47093.40177531455
DE,onwind,2021-02-08T00:00:00,1.0,42059.530250868964
DE,onwind,2021-02-08T03:00:00,1.0,41885.77434415749
DE,onwind,2021-02-08T06:00:00,1.0,37538.90365759754
DE,onwind,2021-02-08T09:00:00,1.0,35327.862036799284
DE,onwind,2021-02-08T12:00:00,1.0,30273.553421191144
DE,onwind,2021-02-08T15:00:00,1.0,24021.346553563428
DE,onwind,2021-02-08T18:00:00,1.0,18474.212656587453
DE,onwind,2021-02-08T21:00:00,1.0,13316.619160221302
DE,onwind,2021-02-09T00:00:00,1.0,10963.513124391055
DE,onwind,2021-02-09T03:00:00,1.0,10610.807609517482
DE,onwind,2021-02-09T06:00:00,1.0,8840.783013283612
DE,onwind,2021-02-09T09:00:00,1.0,8809.447026838667
DE,onwind,2021-02-09T12:00:00,1.0,7355.248736978869
DE,onwind,2021-02-09T15:00:00,1.0,6254.553359300069
DE,onwind,2021-02-09T18:00:00,1.0,7197.927039738346
DE,onwind,2021-02-09T21:00:00,1.0,6622.085341065347
DE,onwind,2021-02-10T00:00:00,1.0,7390.40872981706
DE,onwind,2021-02-10T03:00:00,1.0,9146.41105367397
DE,onwind,2021-02-10T06:00:00,1.0,10148.8746047987
DE,onwind,2021-02-10T09:00:00,1.0,11529.630434641462
DE,onwind,2021-02-10T12:00:00,1.0,12546.397578665845
DE,onwind,2021-02-10T15:00:00,1.0,12924.050467854073
DE,onwind,2021-02-10T18:00:00,1.0,14112.312778021887
DE,onwind,2021-02-10T21:00:00,1.0,12553.140642674904
DE,onwind,2021-02-11T00:00:00,1.0,10495.459137334525
DE,onwind,2021-02-11T03:00:00,1.0,9108.039522466555
DE,onwind,2021-02-11T06:00:00,1.0,7216.440332596605
DE,onwind,2021-02-11T09:00:00,1.0,4298.978933060674
DE,onwind,2021-02-11T12:00:00,1.0,3935.9372351901684
DE,onwind,2021-02-11T15:00:00,1.0,4907.64169890522
DE,onwind,2021-02-11T18:00:00,1.0,7552.064647557837
DE,onwind,2021-02-11T21:00:00,1.0,8802.27363576794
DE,onwind,2021-02-12T00:00:00,1.0,8299.19547271012
DE,onwind,2021-02-12T03:00:00,1.0,9309.70594351915
DE,onwind,2021-02-12T06:00:00,1.0,11712.322867139166
DE,onwind,2021-02-12T09:00:00,1.0,11019.844493951874
DE,onwind,2021-02-12T12:00:00,1.0,14010.876740896705
DE,onwind,2021-02-12T15:00:00,1.0,15967.2042138997
DE,onwind,2021-02-12T18:00:00,1.0,19888.28514299102
DE,onwind,2021-02-12T21:00:00,1.0,18529.833804467646
DE,onwind,2021-02-13T00:00:00,1.0,14463.100860097984
DE,onwind,2021-02-13T03:00:00,1.0,12143.42067066328
DE,onwind,2021-02-13T06:00:00,1.0,10469.59202904684
