scenario,status,objective_meur,solve_time_s,reused
stylised-df-severe-decarb-smr-4.5-limited-flex-v4,ok,12031.38,44.4,
stylised-df-severe-decarb-smr-4.5-v4,ok,12029.88,0.0,True
