b,t,scale,MW
ccgt,2021-02-01T15:00:00,1.0,14601.06583839008
ccgt,2021-02-01T18:00:00,1.0,11080.682160222477
ccgt,2021-02-01T21:00:00,1.0,1746.1035830246947
ccgt,2021-02-02T00:00:00,1.0,0.0
ccgt,2021-02-02T03:00:00,1.0,577.6581440260161
ccgt,2021-02-02T06:00:00,1.0,14436.56518413654
ccgt,2021-02-02T09:00:00,1.0,16446.312569613867
ccgt,2021-02-02T12:00:00,1.0,14249.921123043598
ccgt,2021-02-02T15:00:00,1.0,13676.368906924174
ccgt,2021-02-02T18:00:00,1.0,8193.51406703697
ccgt,2021-02-02T21:00:00,1.0,0.0
ccgt,2021-02-03T00:00:00,1.0,0.0
ccgt,2021-02-03T03:00:00,1.0,0.0
ccgt,2021-02-03T06:00:00,1.0,9594.201742246612
ccgt,2021-02-03T09:00:00,1.0,13231.07061230357
ccgt,2021-02-03T12:00:00,1.0,10998.986794258668
ccgt,2021-02-03T15:00:00,1.0,9692.522802160496
ccgt,2021-02-03T18:00:00,1.0,5045.894223126274
ccgt,2021-02-03T21:00:00,1.0,0.0
ccgt,2021-02-04T00:00:00,1.0,0.0
ccgt,2021-02-04T03:00:00,1.0,0.0
ccgt,2021-02-04T06:00:00,1.0,8967.829161397556
ccgt,2021-02-04T09:00:00,1.0,9934.317099804433
ccgt,2021-02-04T12:00:00,1.0,8078.42397305874
ccgt,2021-02-04T15:00:00,1.0,11734.515291146683
ccgt,2021-02-04T18:00:00,1.0,8467.228345364241
ccgt,2021-02-04T21:00:00,1.0,0.0
ccgt,2021-02-05T00:00:00,1.0,0.0
ccgt,2021-02-05T03:00:00,1.0,0.0
ccgt,2021-02-05T06:00:00,1.0,8652.264841725872
ccgt,2021-02-05T09:00:00,1.0,10387.544894792893
ccgt,2021-02-05T12:00:00,1.0,7699.277411185827
ccgt,2021-02-05T15:00:00,1.0,8347.195895244931
ccgt,2021-02-05T18:00:00,1.0,3630.675197607863
ccgt,2021-02-05T21:00:00,1.0,0.0
ccgt,2021-02-06T00:00:00,1.0,0.0
ccgt,2021-02-06T03:00:00,1.0,0.0
ccgt,2021-02-06T06:00:00,1.0,0.0
ccgt,2021-02-06T09:00:00,1.0,0.0
ccgt,2021-02-06T12:00:00,1.0,0.0
ccgt,2021-02-06T15:00:00,1.0,0.0
ccgt,2021-02-06T18:00:00,1.0,0.0
ccgt,2021-02-06T21:00:00,1.0,0.0
ccgt,2021-02-07T00:00:00,1.0,0.0
ccgt,2021-02-07T03:00:00,1.0,0.0
ccgt,2021-02-07T06:00:00,1.0,0.0
ccgt,2021-02-07T09:00:00,1.0,0.0
ccgt,2021-02-07T12:00:00,1.0,0.0
ccgt,2021-02-07T15:00:00,1.0,0.0
ccgt,2021-02-07T18:00:00,1.0,0.0
ccgt,2021-02-07T21:00:00,1.0,0.0
ccgt,2021-02-08T00:00:00,1.0,0.0
ccgt,2021-02-08T03:00:00,1.0,0.0
ccgt,2021-02-08T06:00:00,1.0,0.0
ccgt,2021-02-08T09:00:00,1.0,0.0
ccgt,2021-02-08T12:00:00,1.0,0.0
ccgt,2021-02-08T15:00:00,1.0,0.0
ccgt,2021-02-08T18:00:00,1.0,0.0
ccgt,2021-02-08T21:00:00,1.0,0.0
ccgt,2021-02-09T00:00:00,1.0,0.0
ccgt,2021-02-09T03:00:00,1.0,0.0
ccgt,2021-02-09T06:00:00,1.0,0.0
ccgt,2021-02-09T09:00:00,1.0,0.0
ccgt,2021-02-09T12:00:00,1.0,0.0
ccgt,2021-02-09T15:00:00,1.0,1664.4072337206853
ccgt,2021-02-09T18:00:00,1.0,0.0
ccgt,2021-02-09T21:00:00,1.0,0.0
ccgt,2021-02-10T00:00:00,1.0,0.0
ccgt,2021-02-10T03:00:00,1.0,0.0
ccgt,2021-02-10T06:00:00,1.0,0.0
ccgt,2021-02-10T09:00:00,1.0,0.0
ccgt,2021-02-10T12:00:00,1.0,0.0
ccgt,2021-02-10T15:00:00,1.0,0.0
ccgt,2021-02-10T18:00:00,1.0,0.0
ccgt,2021-02-10T21:00:00,1.0,0.0
ccgt,2021-02-11T00:00:00,1.0,0.0
ccgt,2021-02-11T03:00:00,1.0,0.0
ccgt,2021-02-11T06:00:00,1.0,5221.951208243536
ccgt,2021-02-11T09:00:00,1.0,2872.7392036314523
ccgt,2021-02-11T12:00:00,1.0,2700.769251688991
ccgt,2021-02-11T15:00:00,1.0,8369.941591659135
ccgt,2021-02-11T18:00:00,1.0,2052.3638864267086
ccgt,2021-02-11T21:00:00,1.0,0.0
ccgt,2021-02-12T00:00:00,1.0,0.0
ccgt,2021-02-12T03:00:00,1.0,0.0
ccgt,2021-02-12T06:00:00,1.0,0.0
ccgt,2021-02-12T09:00:00,1.0,0.0
ccgt,2021-02-12T12:00:00,1.0,0.0
ccgt,2021-02-12T15:00:00,1.0,0.0
ccgt,2021-02-12T18:00:00,1.0,0.0
ccgt,2021-02-12T21:00:00,1.0,0.0
ccgt,2021-02-13T00:00:00,1.0,0.0
ccgt,2021-02-13T03:00:00,1.0,0.0
ccgt,2021-02-13T06:00:00,1.0,0.0
ccgt,2021-02-13T09:00:00,1.0,0.0
ccgt,2021-02-13T12:00:00,1.0,0.0
ccgt,2021-02-13T15:00:00,1.0,0.0
ccgt,2021-02-13T18:00:00,1.0,0.0
ccgt,2021-02-13T21:00:00,1.0,0.0
ccgt,2021-02-14T00:00:00,1.0,0.0
ccgt,2021-02-14T03:00:00,1.0,0.0
ccgt,2021-02-14T06:00:00,1.0,0.0
ccgt,2021-02-14T09:00:00,1.0,0.0
ccgt,2021-02-14T12:00:00,1.0,0.0
ccgt,2021-02-14T15:00:00,1.0,0.0
ccgt,2021-02-14T18:00:00,1.0,0.0
ccgt,2021-02-14T21:00:00,1.0,0.0
coal,2021-01-18T00:00:00,1.0,20351.945
coal,2021-01-18T03:00:00,1.0,20351.945
coal,2021-01-18T06:00:00,1.0,20351.945
coal,2021-01-18T09:00:00,1.0,20351.945
coal,2021-01-18T12:00:00,1.0,20351.945
coal,2021-01-18T15:00:00,1.0,20351.945
coal,2021-01-18T18:00:00,1.0,14068.404209767272
coal,2021-01-18T21:00:00,1.0,5590.517511686085
coal,2021-01-19T00:00:00,1.0,0.0
coal,2021-01-19T03:00:00,1.0,1151.524941104195
coal,2021-01-19T06:00:00,1.0,8026.110067549722
coal,2021-01-19T09:00:00,1.0,2459.5578132009105
