scenario,solver_objective_eur,generation_cost_eur,voll_cost_eur,residual_percent
severe-no-nuclear,727006263.9979411,727006263.9979411,0.0,0.0
severe-smr-4.5,672991905.2951549,672991905.2951549,0.0,0.0
severe-decarbonised-no-nuclear,19644129028.3658,1244081452.3409169,18400047576.02487,5.825705879018571e-14
severe-decarbonised-smr-4.5,12051206204.356115,1164242250.023341,10886963954.332773,1.5827035074074627e-14
