scenario,model,eens_gwh_100k,eens_gwh_10k,eens_pct_demand_10k,peak_shedding_gw_100k,peak_shedding_gw_10k,shedding_snapshots_10k,max_consecutive_shedding_hours_10k,nuclear_generation_twh_10k,co2_mt_10k,opex_excl_voll_meur_10k,penalty_100k_meur,penalty_10k_meur,penalty_ratio_10k_over_100k,expected_penalty_meur,penalty_validation_ok,total_objective_10k_meur,total_objective_100k_meur
stylised-df-severe-decarb-v4,PyPSA,1840.0048,1840.0048,4.3049,18.0634,18.0634,69.0,21.0,0.0,8.2826,1221.5532348819163,184000.47576024843,18400.04757602484,0.09999999999999999,18400.048,True,19621.60081090676,185222.02899513036
stylised-df-severe-decarb-smr-4.5-v4,PyPSA,1088.6964,1088.6964,2.5471,14.0134,14.0134,52.0,15.0,2.4629,7.5543,1142.9189964085326,108869.63954332752,10886.963954332752,0.1,10886.964000000002,True,12029.882950741285,110012.55853973608
stylised-df-severe-decarb-smr-4.5-limited-flex-v4,PyPSA,1088.6964,1088.6964,2.5471,14.0134,14.0134,52.0,0.0,2.5464,7.5544,1144.41,108869.64,10886.96,0.09999996325881118,10886.964000000002,True,12031.38,110014.05
severe-decarbonised-no-nuclear,GAMSPy,1840.0047576024879,1840.0047576024879,4.304920679896894,18.063405086879698,18.063405086879698,,,0.0,8.371334533300749,1244.081452340917,184000.47576024878,18400.04757602487,0.09999999999999995,18400.04757602488,True,19644.129028365787,185244.5572125897
severe-decarbonised-smr-4.5,GAMSPy,1088.696395433277,1088.696395433277,2.547141037252927,14.013405086879699,14.013405086879699,,,2.4385663991756816,7.632416056912485,1164.2422500233408,108869.6395433277,10886.963954332774,0.10000000000000003,10886.963954332772,True,12051.206204356113,110033.88179335106
