scenario,pypsa_mt,gamspy_mt,absolute_difference_mt,relative_difference_percent
severe-no-nuclear,20.63672917213841,20.589176490862013,-0.04755268127639667,-0.23
severe-smr-4.5,18.88824366355083,22.133341587129518,3.2450979235786868,17.18
severe-decarbonised-no-nuclear,8.28258942274765,8.357433554893579,0.07484413214592855,0.90
severe-decarbonised-smr-4.5,7.554270497328329,6.689044410862531,-0.8652260864657979,-11.45
