scenario,pypsa_demand_twh,gamspy_demand_twh,demand_diff_pct,pypsa_vre_twh,gamspy_vre_twh,vre_diff_pct,pypsa_nuclear_twh,gamspy_nuclear_twh,nuclear_diff_pct,pypsa_firm_thermal_twh,gamspy_firm_thermal_twh,firm_thermal_diff_pct,pypsa_peak_ls_gw,gamspy_peak_ls_gw,peak_ls_diff_gw,pypsa_opex_meur,gamspy_opex_meur,opex_diff_pct
severe-no-nuclear,42.741896876170955,42.74189687617095,-0.0,15.101559512923796,15.136353546739766,0.23,0.0,0.0,,27.640337363247163,27.60554332943124,-0.13,0.0,0.0,0.0,694.13184265121,727.0062639979411,4.74
severe-smr-4.5,42.741896876170955,42.74189687617095,-0.0,15.101559512923796,15.136353546739766,0.23,2.4628771876172237,2.4385663991756816,-0.99,25.17746017562994,25.16697693025555,-0.04,0.0,0.0,0.0,641.5563881588724,672.9919052951549,4.9
severe-decarbonised-no-nuclear,42.741896876170955,42.74189687617095,-0.0,15.1015595129238,15.136353546739766,0.23,0.0,0.0,,25.800332605644677,25.765538571828664,-0.13,18.063405086879715,18.063405086879698,-1.7763568394002505e-14,185222.02899513036,19644.129028365787,-89.39
severe-decarbonised-smr-4.5,42.741896876170955,42.74189687617095,-0.0,15.1015595129238,15.136353546739766,0.23,2.4628771876172237,2.4385663991756816,-0.99,24.08876378019666,24.0782805348222,-0.04,14.013405086879722,14.0134050868797,-2.3092638912203256e-14,110012.55853973608,12051.206204356113,-89.05
