scenario,pypsa_mt,gamspy_mt,difference_percent
severe-no-nuclear,20.63672917213841,20.280355604237577,-1.73
severe-smr-4.5,18.88824366355083,18.47318942233272,-2.20
severe-decarbonised-no-nuclear,8.28258942274765,8.371334533300749,1.07
severe-decarbonised-smr-4.5,7.554270497328329,7.632416056912485,1.03
