scope,carrier_group,scenario,base_energy_gwh,scenario_energy_gwh,energy_ratio
core,onshore,moderate,7127.297868975569,3453.1051545170667,0.4844900855832188
core,onshore,severe,7127.297868975569,2605.2145281035664,0.3655262591793463
core,onshore,extreme,7127.297868975569,2039.9541104945665,0.28621704157676464
core,offshore,moderate,1999.1707223115332,976.4553727316838,0.4884302085029843
core,offshore,severe,1999.1707223115332,720.7765353367215,0.36053776062873033
core,offshore,extreme,1999.1707223115332,550.3239770734135,0.2752761287125612
core,solar,moderate,704.6132215224136,269.31027214503825,0.38221007485944763
core,solar,severe,704.6132215224136,176.03106870702928,0.24982651947218643
core,solar,extreme,704.6132215224136,144.9380008943596,0.20569866767643266
core,total_vre,moderate,9831.081812809516,4698.870799393789,0.47796070553205483
core,total_vre,severe,9831.081812809516,3502.0221321473173,0.35621940685961123
core,total_vre,extreme,9831.081812809516,2735.2160884623395,0.2782212721389888
