scope,carrier_group,scenario,base_energy_gwh,scenario_energy_gwh,energy_ratio
plateau,onshore,moderate,4115.205652975341,1440.321978541369,0.3499999999999999
plateau,onshore,severe,4115.205652975341,823.041130595068,0.19999999999999996
plateau,onshore,extreme,4115.205652975341,411.520565297534,0.09999999999999998
plateau,offshore,moderate,1368.4045144230543,547.3618057692217,0.4
plateau,offshore,severe,1368.4045144230543,342.10112860576356,0.25
plateau,offshore,extreme,1368.4045144230543,205.26067716345815,0.15000000000000002
plateau,solar,moderate,540.9546503811149,162.28639511433448,0.30000000000000004
plateau,solar,severe,540.9546503811149,81.14319755716724,0.15000000000000002
plateau,solar,extreme,540.9546503811149,54.09546503811147,0.09999999999999996
plateau,total_vre,moderate,6024.56481777951,2149.970179424925,0.35686729987201715
plateau,total_vre,severe,6024.56481777951,1246.2854567579989,0.20686729987201724
plateau,total_vre,extreme,6024.56481777951,670.8767074991036,0.11135687436198428
core,onshore,moderate,7127.297868975569,3453.1051545170667,0.4844900855832188
core,onshore,severe,7127.297868975569,2605.2145281035664,0.3655262591793463
core,onshore,extreme,7127.297868975569,2039.9541104945665,0.28621704157676464
core,offshore,moderate,1999.1707223115332,976.4553727316838,0.4884302085029843
core,offshore,severe,1999.1707223115332,720.7765353367215,0.36053776062873033
core,offshore,extreme,1999.1707223115332,550.3239770734135,0.2752761287125612
core,solar,moderate,704.6132215224136,269.31027214503825,0.38221007485944763
core,solar,severe,704.6132215224136,176.03106870702928,0.24982651947218643
core,solar,extreme,704.6132215224136,144.9380008943596,0.20569866767643266
core,total_vre,moderate,9831.081812809516,4698.870799393789,0.47796070553205483
core,total_vre,severe,9831.081812809516,3502.0221321473173,0.35621940685961123
core,total_vre,extreme,9831.081812809516,2735.2160884623395,0.2782212721389888
full-window,onshore,moderate,15717.579919531388,12043.38720507289,0.7662367404352894
full-window,onshore,severe,15717.579919531388,11195.496578659386,0.7122913728434329
full-window,onshore,extreme,15717.579919531388,10630.236161050387,0.676327794448862
full-window,offshore,moderate,4613.482143967637,3590.7667943877877,0.7783202974098206
full-window,offshore,severe,4613.482143967637,3335.0879569928256,0.7229003717622757
full-window,offshore,extreme,4613.482143967637,3164.635398729518,0.6859537546639126
full-window,solar,moderate,1658.7773752950634,1223.4744259176878,0.737576026861384
full-window,solar,severe,1658.7773752950634,1130.1952224796787,0.6813423183316806
full-window,solar,extreme,1658.7773752950634,1099.102154667009,0.6625977488217795
full-window,total_vre,moderate,21989.83943879409,16857.628425378367,0.7666098914591634
full-window,total_vre,severe,21989.83943879409,15660.77975813189,0.7121825423837982
full-window,total_vre,extreme,21989.83943879409,14893.973714446915,0.6773116172995437
