n,k,t,scale,MW
DE0,ccgt,2021-02-07T03:00:00,1.0,1640.0
DE0,ccgt,2021-02-07T06:00:00,1.0,1640.0
DE0,ccgt,2021-02-07T09:00:00,1.0,1640.0
DE0,ccgt,2021-02-07T12:00:00,1.0,492.0
DE0,ccgt,2021-02-07T15:00:00,1.0,492.0
DE0,ccgt,2021-02-07T18:00:00,1.0,492.0
DE0,ccgt,2021-02-07T21:00:00,1.0,492.0
DE0,ocgt,2021-01-25T00:00:00,1.0,0.0
DE0,ocgt,2021-01-25T03:00:00,1.0,740.0
DE0,ocgt,2021-01-25T06:00:00,1.0,740.0
DE0,ocgt,2021-01-25T09:00:00,1.0,0.0
DE0,ocgt,2021-01-25T12:00:00,1.0,0.0
DE0,ocgt,2021-01-25T15:00:00,1.0,0.0
DE0,ocgt,2021-01-25T18:00:00,1.0,0.0
DE0,ocgt,2021-01-25T21:00:00,1.0,0.0
DE0,ocgt,2021-01-26T00:00:00,1.0,0.0
DE0,ocgt,2021-01-26T03:00:00,1.0,0.0
DE0,ocgt,2021-01-26T06:00:00,1.0,0.0
DE0,ocgt,2021-01-26T09:00:00,1.0,0.0
DE0,ocgt,2021-01-26T12:00:00,1.0,0.0
DE0,ocgt,2021-01-26T15:00:00,1.0,0.0
DE0,ocgt,2021-01-26T18:00:00,1.0,0.0
DE0,ocgt,2021-01-26T21:00:00,1.0,0.0
DE0,ocgt,2021-01-27T00:00:00,1.0,0.0
DE0,ocgt,2021-01-27T03:00:00,1.0,0.0
DE0,ocgt,2021-01-27T06:00:00,1.0,0.0
DE0,ocgt,2021-01-27T09:00:00,1.0,0.0
DE0,ocgt,2021-01-27T12:00:00,1.0,0.0
DE0,ocgt,2021-01-27T15:00:00,1.0,0.0
DE0,ocgt,2021-01-27T18:00:00,1.0,0.0
DE0,ocgt,2021-01-27T21:00:00,1.0,0.0
DE0,ocgt,2021-01-28T00:00:00,1.0,0.0
DE0,ocgt,2021-01-28T03:00:00,1.0,0.0
DE0,ocgt,2021-01-28T06:00:00,1.0,0.0
DE0,ocgt,2021-01-28T09:00:00,1.0,0.0
DE0,ocgt,2021-01-28T12:00:00,1.0,0.0
DE0,ocgt,2021-01-28T15:00:00,1.0,0.0
DE0,ocgt,2021-01-28T18:00:00,1.0,0.0
DE0,ocgt,2021-01-28T21:00:00,1.0,0.0
DE0,ocgt,2021-01-29T00:00:00,1.0,0.0
DE0,ocgt,2021-01-29T03:00:00,1.0,0.0
DE0,ocgt,2021-01-29T06:00:00,1.0,0.0
DE0,ocgt,2021-01-29T09:00:00,1.0,0.0
DE0,ocgt,2021-01-29T12:00:00,1.0,0.0
DE0,ocgt,2021-01-29T15:00:00,1.0,0.0
DE0,ocgt,2021-01-29T18:00:00,1.0,0.0
DE0,ocgt,2021-01-29T21:00:00,1.0,0.0
DE0,ocgt,2021-01-30T00:00:00,1.0,0.0
DE0,ocgt,2021-01-30T03:00:00,1.0,0.0
DE0,ocgt,2021-01-30T06:00:00,1.0,0.0
DE0,ocgt,2021-01-30T09:00:00,1.0,0.0
DE0,ocgt,2021-01-30T12:00:00,1.0,0.0
DE0,ocgt,2021-01-30T15:00:00,1.0,0.0
DE0,ocgt,2021-01-30T18:00:00,1.0,0.0
DE0,ocgt,2021-01-30T21:00:00,1.0,0.0
DE0,ocgt,2021-01-31T00:00:00,1.0,0.0
DE0,ocgt,2021-01-31T03:00:00,1.0,0.0
DE0,ocgt,2021-01-31T06:00:00,1.0,0.0
DE0,ocgt,2021-01-31T09:00:00,1.0,0.0
DE0,ocgt,2021-01-31T12:00:00,1.0,0.0
DE0,ocgt,2021-01-31T15:00:00,1.0,0.0
DE0,ocgt,2021-01-31T18:00:00,1.0,0.0
DE0,ocgt,2021-01-31T21:00:00,1.0,0.0
DE0,ocgt,2021-02-01T00:00:00,1.0,0.0
DE0,ocgt,2021-02-01T03:00:00,1.0,0.0
