scenario,computed_meur,objective_meur,gap_meur,status
stylised-df-severe-v4,694.13184265121,694.1318426511887,2.1373125491663814e-11,ok
stylised-df-severe-nuc-1.5-v4,675.2165404191504,675.2165404191386,1.1823431123048067e-11,ok
stylised-df-severe-nuc-3.0-v4,657.2779737930048,657.2779737930192,1.4438228390645236e-11,ok
stylised-df-severe-nuc-4.5-v4,639.9416889973651,639.9416889973362,2.887645678129047e-11,ok
stylised-df-severe-nuc-7.5-v4,607.3653311049118,607.3653311049181,6.366462912410498e-12,ok
