scenario,capacity_gw,co2_avoided_mt,coal_displacement_twh,lignite_displacement_twh,ccgt_displacement_twh,total_fossil_displacement_twh,operational_cost_change_meur,curtailment_change_twh,co2_avoided_per_nuclear_twh
stylised-df-severe-nuc-1.5-v4,1.5,0.23019999999999996,0.017000000000000348,0.0862999999999996,0.27719999999999967,0.4400000000000013,-12.689999999999998,0.0,0.5231818181818181
stylised-df-severe-nuc-3.0-v4,3.0,0.48019999999999996,0.03370000000000051,0.19869999999999965,0.5343999999999998,0.8737999999999992,-24.79000000000002,0.0,0.5496165731944602
stylised-df-severe-nuc-4.5-v4,4.5,0.7421000000000006,0.04800000000000004,0.3281999999999998,0.7818999999999998,1.3044000000000011,-36.57000000000005,0.0,0.5689641953538301
stylised-df-severe-nuc-7.5-v4,7.5,1.3034,0.07209999999999983,0.6409000000000002,1.2213999999999998,2.1549000000000014,-58.76000000000005,0.0,0.6048821236309634
