scenario,solver_objective_eur,generation_cost_eur,voll_cost_eur,residual_percent
severe-no-nuclear,727006263.9979411,727006263.9979411,0.0,0.0
severe-smr-4.5,672991905.2951549,672991905.2951549,0.0,0.0
severe-decarbonised-no-nuclear,185244557212.5897,1244081452.3409169,184000475760.24878,0.0
severe-decarbonised-smr-4.5,110033881793.35104,1164242250.023341,108869639543.32771,1.3867355049017306e-14
