n,scale,energy_MWh
DE0,1.0,40516.518446869675
DE1,1.0,425.58276631162653
DE2,1.0,0.0
DE3,1.0,18561.178229498386
DE4,1.0,0.0
DE5,1.0,258181.99832011957
DE6,1.0,0.0
DE7,1.0,1384.8678984121282
DE8,1.0,40483.78437343278
DE9,1.0,0.0
