n,scale,power_MW
DE0,1.0,10129.129611717419
DE1,1.0,106.39569157790663
DE2,1.0,0.0
DE3,1.0,4640.2945573745965
DE4,1.0,0.0
DE5,1.0,64545.49958002989
DE6,1.0,0.0
DE7,1.0,346.21697460303204
DE8,1.0,10120.946093358196
DE9,1.0,0.0
