timestamp,factor
2021-01-18 00:00:00,1.0
2021-01-18 03:00:00,1.0
2021-01-18 06:00:00,1.0
2021-01-18 09:00:00,1.0
2021-01-18 12:00:00,1.0
2021-01-18 15:00:00,1.0
2021-01-18 18:00:00,1.0
2021-01-18 21:00:00,1.0
2021-01-19 00:00:00,1.0
2021-01-19 03:00:00,1.0
2021-01-19 06:00:00,1.0
2021-01-19 09:00:00,1.0
2021-01-19 12:00:00,1.0
2021-01-19 15:00:00,1.0
2021-01-19 18:00:00,1.0
2021-01-19 21:00:00,1.0
2021-01-20 00:00:00,1.0
2021-01-20 03:00:00,1.0
2021-01-20 06:00:00,1.0
2021-01-20 09:00:00,1.0
2021-01-20 12:00:00,1.0
2021-01-20 15:00:00,1.0
2021-01-20 18:00:00,1.0
2021-01-20 21:00:00,1.0
2021-01-21 00:00:00,1.0
2021-01-21 03:00:00,1.0
2021-01-21 06:00:00,1.0
2021-01-21 09:00:00,1.0
2021-01-21 12:00:00,1.0
2021-01-21 15:00:00,1.0
2021-01-21 18:00:00,1.0
2021-01-21 21:00:00,1.0
2021-01-22 00:00:00,1.0
2021-01-22 03:00:00,1.0
2021-01-22 06:00:00,1.0
2021-01-22 09:00:00,1.0
2021-01-22 12:00:00,1.0
2021-01-22 15:00:00,1.0
2021-01-22 18:00:00,1.0
2021-01-22 21:00:00,1.0
2021-01-23 00:00:00,1.0
2021-01-23 03:00:00,1.0
2021-01-23 06:00:00,1.0
2021-01-23 09:00:00,1.0
2021-01-23 12:00:00,1.0
2021-01-23 15:00:00,1.0
2021-01-23 18:00:00,1.0
2021-01-23 21:00:00,1.0
2021-01-24 00:00:00,1.0
2021-01-24 03:00:00,1.0
2021-01-24 06:00:00,1.0
2021-01-24 09:00:00,1.0
2021-01-24 12:00:00,1.0
2021-01-24 15:00:00,1.0
2021-01-24 18:00:00,1.0
2021-01-24 21:00:00,1.0
2021-01-25 00:00:00,1.0
2021-01-25 03:00:00,0.992377579271137
2021-01-25 06:00:00,0.9698032424384554
2021-01-25 09:00:00,0.9331445086066015
2021-01-25 12:00:00,0.8838101523582782
2021-01-25 15:00:00,0.8236960653370831
2021-01-25 18:00:00,0.7551123981948723
2021-01-25 21:00:00,0.6806947827977573
2021-01-26 00:00:00,0.60330304637157
2021-01-26 03:00:00,0.5259113099453823
2021-01-26 06:00:00,0.4514936945482673
2021-01-26 09:00:00,0.38291002740605634
2021-01-26 12:00:00,0.3227959403848614
2021-01-26 15:00:00,0.27346158413653826
2021-01-26 18:00:00,0.23680285030468406
2021-01-26 21:00:00,0.21422851347200253
2021-01-27 00:00:00,0.20660609274313954
2021-01-27 03:00:00,0.20660609274313954
2021-01-27 06:00:00,0.20660609274313954
2021-01-27 09:00:00,0.20660609274313954
2021-01-27 12:00:00,0.20660609274313954
2021-01-27 15:00:00,0.20660609274313954
2021-01-27 18:00:00,0.20660609274313954
2021-01-27 21:00:00,0.20660609274313954
2021-01-28 00:00:00,0.20660609274313954
2021-01-28 03:00:00,0.20660609274313954
2021-01-28 06:00:00,0.20660609274313954
2021-01-28 09:00:00,0.20660609274313954
2021-01-28 12:00:00,0.20660609274313954
2021-01-28 15:00:00,0.20660609274313954
2021-01-28 18:00:00,0.20660609274313954
2021-01-28 21:00:00,0.20660609274313954
2021-01-29 00:00:00,0.20660609274313954
2021-01-29 03:00:00,0.20660609274313954
2021-01-29 06:00:00,0.20660609274313954
2021-01-29 09:00:00,0.20660609274313954
2021-01-29 12:00:00,0.20660609274313954
2021-01-29 15:00:00,0.20660609274313954
2021-01-29 18:00:00,0.20660609274313954
2021-01-29 21:00:00,0.20660609274313954
2021-01-30 00:00:00,0.20660609274313954
2021-01-30 03:00:00,0.20660609274313954
2021-01-30 06:00:00,0.20660609274313954
2021-01-30 09:00:00,0.20660609274313954
2021-01-30 12:00:00,0.20660609274313954
2021-01-30 15:00:00,0.20660609274313954
2021-01-30 18:00:00,0.20660609274313954
2021-01-30 21:00:00,0.20660609274313954
2021-01-31 00:00:00,0.20660609274313954
2021-01-31 03:00:00,0.20660609274313954
2021-01-31 06:00:00,0.20660609274313954
2021-01-31 09:00:00,0.20660609274313954
2021-01-31 12:00:00,0.20660609274313954
2021-01-31 15:00:00,0.20660609274313954
2021-01-31 18:00:00,0.20660609274313954
2021-01-31 21:00:00,0.20660609274313954
2021-02-01 00:00:00,0.20660609274313954
2021-02-01 03:00:00,0.20660609274313954
2021-02-01 06:00:00,0.20660609274313954
2021-02-01 09:00:00,0.20660609274313954
2021-02-01 12:00:00,0.20660609274313954
2021-02-01 15:00:00,0.20660609274313954
2021-02-01 18:00:00,0.20660609274313954
2021-02-01 21:00:00,0.20660609274313954
2021-02-02 00:00:00,0.20660609274313954
2021-02-02 03:00:00,0.20660609274313954
2021-02-02 06:00:00,0.20660609274313954
2021-02-02 09:00:00,0.20660609274313954
2021-02-02 12:00:00,0.20660609274313954
2021-02-02 15:00:00,0.20660609274313954
2021-02-02 18:00:00,0.20660609274313954
2021-02-02 21:00:00,0.20660609274313954
2021-02-03 00:00:00,0.20660609274313954
2021-02-03 03:00:00,0.20660609274313954
2021-02-03 06:00:00,0.20660609274313954
2021-02-03 09:00:00,0.20660609274313954
2021-02-03 12:00:00,0.20660609274313954
2021-02-03 15:00:00,0.20660609274313954
2021-02-03 18:00:00,0.20660609274313954
2021-02-03 21:00:00,0.20660609274313954
2021-02-04 00:00:00,0.20660609274313954
2021-02-04 03:00:00,0.20660609274313954
2021-02-04 06:00:00,0.20660609274313954
2021-02-04 09:00:00,0.20660609274313954
2021-02-04 12:00:00,0.20660609274313954
2021-02-04 15:00:00,0.20660609274313954
2021-02-04 18:00:00,0.20660609274313954
2021-02-04 21:00:00,0.20660609274313954
2021-02-05 00:00:00,0.20660609274313954
2021-02-05 03:00:00,0.20660609274313954
2021-02-05 06:00:00,0.20660609274313954
2021-02-05 09:00:00,0.20660609274313954
2021-02-05 12:00:00,0.20660609274313954
2021-02-05 15:00:00,0.20660609274313954
2021-02-05 18:00:00,0.20660609274313954
2021-02-05 21:00:00,0.20660609274313954
2021-02-06 00:00:00,0.20660609274313954
2021-02-06 03:00:00,0.21422851347200253
2021-02-06 06:00:00,0.23680285030468406
2021-02-06 09:00:00,0.2734615841365381
2021-02-06 12:00:00,0.3227959403848614
2021-02-06 15:00:00,0.38291002740605634
2021-02-06 18:00:00,0.4514936945482672
2021-02-06 21:00:00,0.5259113099453822
2021-02-07 00:00:00,0.6033030463715698
2021-02-07 03:00:00,0.6806947827977573
2021-02-07 06:00:00,0.7551123981948723
2021-02-07 09:00:00,0.8236960653370831
2021-02-07 12:00:00,0.8838101523582782
2021-02-07 15:00:00,0.9331445086066011
2021-02-07 18:00:00,0.9698032424384554
2021-02-07 21:00:00,0.992377579271137
2021-02-08 00:00:00,1.0
2021-02-08 03:00:00,1.0
2021-02-08 06:00:00,1.0
2021-02-08 09:00:00,1.0
2021-02-08 12:00:00,1.0
2021-02-08 15:00:00,1.0
2021-02-08 18:00:00,1.0
2021-02-08 21:00:00,1.0
2021-02-09 00:00:00,1.0
2021-02-09 03:00:00,1.0
2021-02-09 06:00:00,1.0
2021-02-09 09:00:00,1.0
2021-02-09 12:00:00,1.0
2021-02-09 15:00:00,1.0
2021-02-09 18:00:00,1.0
2021-02-09 21:00:00,1.0
2021-02-10 00:00:00,1.0
2021-02-10 03:00:00,1.0
2021-02-10 06:00:00,1.0
2021-02-10 09:00:00,1.0
2021-02-10 12:00:00,1.0
2021-02-10 15:00:00,1.0
2021-02-10 18:00:00,1.0
2021-02-10 21:00:00,1.0
2021-02-11 00:00:00,1.0
2021-02-11 03:00:00,1.0
2021-02-11 06:00:00,1.0
2021-02-11 09:00:00,1.0
2021-02-11 12:00:00,1.0
2021-02-11 15:00:00,1.0
2021-02-11 18:00:00,1.0
2021-02-11 21:00:00,1.0
2021-02-12 00:00:00,1.0
2021-02-12 03:00:00,1.0
2021-02-12 06:00:00,1.0
2021-02-12 09:00:00,1.0
2021-02-12 12:00:00,1.0
2021-02-12 15:00:00,1.0
2021-02-12 18:00:00,1.0
2021-02-12 21:00:00,1.0
2021-02-13 00:00:00,1.0
2021-02-13 03:00:00,1.0
2021-02-13 06:00:00,1.0
2021-02-13 09:00:00,1.0
2021-02-13 12:00:00,1.0
2021-02-13 15:00:00,1.0
2021-02-13 18:00:00,1.0
2021-02-13 21:00:00,1.0
2021-02-14 00:00:00,1.0
2021-02-14 03:00:00,1.0
2021-02-14 06:00:00,1.0
2021-02-14 09:00:00,1.0
2021-02-14 12:00:00,1.0
2021-02-14 15:00:00,1.0
2021-02-14 18:00:00,1.0
2021-02-14 21:00:00,1.0
