bus,carrier,mean_abs_diff_clim_vs_histnorm,mean_cf_climatological,mean_cf_historical_normal,mean_cf_historical_severe
DE0 0,offwind-ac,0.6840760999884479,0.07928660714285714,0.7605440433893725,0.5147751385266544
DE0 7,solar,0.06780224943465563,0.008990178571428573,0.07349421372036992,0.03683176564862912
DE0 8,offwind-ac,0.604025557331336,0.07928660714285714,0.6764485158313835,0.4561738161217003
DE0 2,solar-hsat,0.07392340166512026,0.008990178571428573,0.08195108023654883,0.0410358558717839
DE0 7,offwind-ac,0.6655059549460808,0.07928660714285714,0.7340032398796941,0.5415861147286899
DE0 5,solar-hsat,0.06388241170231321,0.008990178571428573,0.07137417873457927,0.03574876953239548
DE0 2,onwind,0.5239379740246431,0.06090625,0.5801151372440744,0.3368532456776214
DE0 4,solar-hsat,0.10874358965798182,0.008990178571428573,0.11593733965798182,0.058320461207982496
DE0 7,onwind,0.43006283891263514,0.06090625,0.4867169913095569,0.2948708980420961
DE0 1,solar,0.08990425366746886,0.008990178571428573,0.09720203415948656,0.049329103012971484
DE0 7,offwind-float,0.5810816757661279,0.07928660714285714,0.6521676038747481,0.4836337733756687
DE0 3,solar-hsat,0.06576397148349755,0.008990178571428573,0.07182174064722822,0.035999213334480626
DE0 1,solar-hsat,0.09183643347990637,0.008990178571428573,0.09948196919419207,0.050315474040506396
DE0 6,solar,0.07529797447550979,0.008990178571428573,0.08070065304693837,0.04043330705867204
DE0 9,solar-hsat,0.076386309011563,0.008990178571428573,0.08178898758299158,0.04102606650600065
DE0 6,solar-hsat,0.07561429304676721,0.008990178571428573,0.08225090018962435,0.04120185188092599
DE0 0,onwind,0.3864315007218882,0.06090625,0.44560950392259385,0.2629080022073787
DE0 5,onwind,0.43316184793125295,0.06090625,0.48770216528266286,0.2907045745260769
DE0 0,solar,0.08219297688210506,0.008990178571428573,0.08679565545353363,0.04350925579815597
DE0 7,solar-hsat,0.06769220865705934,0.008990178571428573,0.07403531440519877,0.03709712411328736
DE0 8,onwind,0.4614557569874039,0.06090625,0.5141315695148025,0.3288971275051577
DE0 8,solar-hsat,0.06907176453957489,0.008990178571428573,0.07428337168243204,0.03720084013865978
DE0 0,solar-hsat,0.08013829229739278,0.008990178571428573,0.0852511821651252,0.04272797462028027
DE0 0,offwind-float,0.559788398704453,0.07928660714285714,0.634289108527459,0.39462283570383544
DE0 6,onwind,0.4077637130725667,0.06090625,0.4590597587805794,0.2694493481874286
DE0 5,solar,0.06312662166333015,0.008990178571428573,0.07015977130321989,0.03516592182163018
DE0 8,solar,0.06881696426829684,0.008990178571428573,0.07383817482959502,0.036982223020341154
DE0 3,solar,0.06725635946007404,0.008990178571428573,0.07222153803150262,0.03620563347372716
DE0 0,offwind-dc,0.7579930139692328,0.07928660714285714,0.831791099492032,0.6176681034553214
DE0 8,offwind-dc,0.63890715452153,0.07928660714285714,0.7036309752062844,0.5343728834579248
DE0 8,offwind-float,0.49385835864500927,0.07928660714285714,0.5646582936659587,0.3732546330092611
DE0 7,offwind-dc,0.6616068628702811,0.07928660714285714,0.7351010939920554,0.5542076523402952
DE0 3,onwind,0.3619039380128406,0.06090625,0.4194811215282095,0.23972670849542382
DE0 4,onwind,0.3900199413481339,0.06090625,0.44002653919981566,0.2791738389614123
DE0 4,solar,0.10485212928570095,0.008990178571428573,0.11096023278636413,0.05622746024418684
DE0 9,onwind,0.39324955903104597,0.06090625,0.4442901197199527,0.2543091383109721
DE0 9,solar,0.07503867238995984,0.008990178571428573,0.0800038509613884,0.040135985603611084
DE0 2,solar,0.07460482179860886,0.008990178571428573,0.08205150364961167,0.04109010932296897
DE0 1,onwind,0.42589282285450203,0.06090625,0.47788948854461427,0.3163521173193728
