n,k,scale,new_MW
DE0,solar,1.0,4116.058394160581
DE1,solar,1.0,40210.37788783875
DE2,solar,1.0,135026.22516000146
DE3,solar,1.0,38907.374426293994
DE4,solar,1.0,50240.93028267246
DE5,ccgt,1.0,17408.206059
DE5,solar,1.0,1196.1709626875036
DE6,ccgt,1.0,10948.201959645701
DE6,solar,1.0,91352.8927299726
