timestamp,scenario,load_shedding_GW
2021-02-01 06:00:00,No nuclear,11.212597630489674
2021-02-01 09:00:00,No nuclear,13.769145639020909
2021-02-01 12:00:00,No nuclear,14.427142273176825
2021-02-01 15:00:00,No nuclear,15.879827799390078
2021-02-01 18:00:00,No nuclear,12.359444121222449
2021-02-01 21:00:00,No nuclear,3.024865544024651
2021-02-02 00:00:00,No nuclear,0.0
2021-02-02 03:00:00,No nuclear,1.8564201050259574
2021-02-02 06:00:00,No nuclear,15.715327145136506
2021-02-02 09:00:00,No nuclear,17.725074530613863
2021-02-02 12:00:00,No nuclear,15.528683084043601
2021-02-02 15:00:00,No nuclear,14.955130867924172
2021-02-02 18:00:00,No nuclear,9.472276028036953
2021-02-02 21:00:00,No nuclear,0.0
2021-02-03 00:00:00,No nuclear,0.0
2021-02-03 03:00:00,No nuclear,0.0
2021-02-03 06:00:00,No nuclear,10.872963703246594
2021-02-03 09:00:00,No nuclear,14.509832573303594
2021-02-03 12:00:00,No nuclear,12.277748755258669
2021-02-03 15:00:00,No nuclear,10.971284763160499
2021-02-03 18:00:00,No nuclear,6.32465618412625
2021-02-03 21:00:00,No nuclear,0.0
2021-02-04 00:00:00,No nuclear,0.0
2021-02-04 03:00:00,No nuclear,0.0
2021-02-04 06:00:00,No nuclear,10.246591122397561
2021-02-04 09:00:00,No nuclear,11.213079060804427
2021-02-04 12:00:00,No nuclear,9.35718593405871
2021-02-04 15:00:00,No nuclear,13.013277252146652
2021-02-04 18:00:00,No nuclear,9.745990306364225
2021-02-04 21:00:00,No nuclear,0.0
2021-02-05 00:00:00,No nuclear,0.0
2021-02-05 03:00:00,No nuclear,0.0
2021-02-05 06:00:00,No nuclear,9.931026802725848
2021-02-05 09:00:00,No nuclear,11.66630685579286
2021-02-05 12:00:00,No nuclear,8.9780393721858
2021-02-05 15:00:00,No nuclear,9.625957856244892
2021-02-05 18:00:00,No nuclear,4.909437158607849
2021-02-05 21:00:00,No nuclear,0.0
2021-02-06 00:00:00,No nuclear,0.0
2021-02-06 03:00:00,No nuclear,0.0
2021-02-06 06:00:00,No nuclear,0.0
2021-02-06 09:00:00,No nuclear,0.0
2021-02-06 12:00:00,No nuclear,0.0
2021-02-06 15:00:00,No nuclear,0.0
2021-02-06 18:00:00,No nuclear,0.0
2021-02-06 21:00:00,No nuclear,0.0
2021-02-07 00:00:00,No nuclear,0.0
2021-02-07 03:00:00,No nuclear,0.0
2021-02-07 06:00:00,No nuclear,0.0
2021-02-07 09:00:00,No nuclear,0.0
2021-02-07 12:00:00,No nuclear,0.0
2021-02-07 15:00:00,No nuclear,0.0
2021-02-07 18:00:00,No nuclear,0.0
2021-02-07 21:00:00,No nuclear,0.0
2021-02-08 00:00:00,No nuclear,0.0
2021-02-08 03:00:00,No nuclear,0.0
2021-02-08 06:00:00,No nuclear,0.0
2021-02-08 09:00:00,No nuclear,0.0
2021-02-08 12:00:00,No nuclear,0.0
2021-02-08 15:00:00,No nuclear,0.0
2021-02-08 18:00:00,No nuclear,0.0
2021-02-08 21:00:00,No nuclear,0.0
2021-02-09 00:00:00,No nuclear,0.0
2021-02-09 03:00:00,No nuclear,0.0
2021-02-09 06:00:00,No nuclear,0.0
2021-02-09 09:00:00,No nuclear,0.0
2021-02-09 12:00:00,No nuclear,0.0
2021-02-09 15:00:00,No nuclear,2.9431691947206837
2021-02-09 18:00:00,No nuclear,0.0
2021-02-09 21:00:00,No nuclear,0.0
2021-02-10 00:00:00,No nuclear,0.0
2021-02-10 03:00:00,No nuclear,0.0
2021-02-10 06:00:00,No nuclear,0.0
2021-02-10 09:00:00,No nuclear,0.0
2021-02-10 12:00:00,No nuclear,0.0
2021-02-10 15:00:00,No nuclear,0.0
2021-02-10 18:00:00,No nuclear,0.0
