timestamp,scenario,demand_GW,onshore wind_GW,offshore wind_GW,solar_GW,biomass_GW,coal_GW,lignite_GW,CCGT_GW,waste_GW,other_GW
2021-01-25 00:00:00,Matched reference,49.08622668711344,6.094120317279599,1.254412055762124,0.0,8.020001832999998,20.351945,13.338847481071717,0.0,0.0,0.026900000000000004
2021-01-25 03:00:00,Matched reference,55.0646300125122,4.439162789576918,1.5757965906795701,0.0,8.020001832999998,20.351945,19.457035,0.0,1.193788799255722,0.026900000000000004
2021-01-25 06:00:00,Matched reference,70.23549000549315,3.306544377608737,1.8820673462641437,1.7455722579902226,8.020001832999998,20.351945,19.457035,12.317765190630068,3.127659,0.026900000000000004
2021-01-25 09:00:00,Matched reference,72.94663248952229,2.792278025202158,1.2988857510332392,9.358194325561671,8.020001832999998,20.351945,19.457035,8.513733554725226,3.127659,0.026900000000000004
2021-01-25 12:00:00,Matched reference,71.00362498982747,4.419837716161991,2.8007903647541776,7.817182759109268,8.020001832999998,20.351945,19.457035,4.982273316802044,3.127659,0.026900000000000004
2021-01-25 15:00:00,Matched reference,71.82153081766764,7.939741588502337,6.372253742610899,0.1638337243868218,8.020001832999998,20.351945,19.457035,6.36216092916759,3.127659,0.026900000000000004
2021-01-25 18:00:00,Matched reference,68.35056582132974,14.044170889338798,6.997163967917254,0.0,8.020001832999998,20.351945,18.910384131073698,0.0,0.0,0.026900000000000004
2021-01-25 21:00:00,Matched reference,60.21136752319336,18.075644980595932,4.520925134627951,0.0,8.020001832999998,20.351945,9.21595057496948,0.0,0.0,0.026900000000000004
2021-01-26 00:00:00,Matched reference,54.80994667307536,19.66736627773312,1.1155629754767713,0.0,8.020001832999998,20.327544999999997,5.652570586865477,0.0,0.0,0.026900000000000004
2021-01-26 03:00:00,Matched reference,59.528708361307785,21.370854815604186,1.2961551595402487,0.0,8.020001832999998,20.351945,8.462851553163341,0.0,0.0,0.026900000000000004
2021-01-26 06:00:00,Matched reference,72.29098248799642,21.867212961268983,1.8347238944442696,1.691173765536707,8.020001832999998,20.351945,18.49902503374646,0.0,0.0,0.026900000000000004
2021-01-26 09:00:00,Matched reference,74.89005414326986,19.399305359404895,2.9449736338031354,7.743312832662236,8.020001832999998,20.351945,16.40361548439959,0.0,0.0,0.026900000000000004
2021-01-26 12:00:00,Matched reference,72.48909911346435,19.95995994223913,3.5205667978710493,5.536666128157435,8.020001832999998,20.351945,15.073059412196738,0.0,0.0,0.026900000000000004
2021-01-26 15:00:00,Matched reference,73.43240670267743,18.853513717453303,4.35638491791994,0.07887020651325431,8.020001832999998,20.351945,19.457035,0.0,2.287756027790918,0.026900000000000004
2021-01-26 18:00:00,Matched reference,69.57480001831053,19.482465310956556,4.040279408473241,0.0,8.020001832999998,20.351945,17.65320846588075,0.0,0.0,0.026900000000000004
2021-01-26 21:00:00,Matched reference,60.36267247772218,17.03877460328169,6.652705159849281,0.0,8.020001832999998,20.351945,8.272345881591177,0.0,0.0,0.026900000000000004
2021-01-27 00:00:00,Matched reference,54.76082083638509,17.771284914152908,7.631509753477402,0.0,8.020001832999998,20.327544999999997,0.9835793357547864,0.0,0.0,0.026900000000000004
2021-01-27 03:00:00,Matched reference,59.81704000345867,18.356078574263357,7.241074873342477,0.0,8.020001832999998,20.327544999999997,5.845439722852834,0.0,0.0,0.026900000000000004
2021-01-27 06:00:00,Matched reference,73.31548080952963,17.843167901522907,8.252375421987141,1.3982946640904306,8.020001832999998,20.351945,17.42279598892915,0.0,0.0,0.026900000000000004
2021-01-27 09:00:00,Matched reference,75.96454414876301,18.88205326795794,8.655225601937175,8.48444551459512,8.020001832999998,20.351945,11.543972931272787,0.0,0.0,0.026900000000000004
2021-01-27 12:00:00,Matched reference,73.17819664255778,15.724229446082871,5.825689596485225,7.011767642630878,8.020001832999998,20.351945,16.217663124358797,0.0,0.0,0.026900000000000004
2021-01-27 15:00:00,Matched reference,73.0039758758545,13.820931388486676,4.001467342627459,0.1595980665758804,8.020001832999998,20.351945,19.457035,4.03843824516448,3.127659,0.026900000000000004
2021-01-27 18:00:00,Matched reference,68.53461248779297,16.53214243224365,4.449924944694042,0.0,8.020001832999998,20.351945,19.15369827785528,0.0,0.0,0.026900000000000004
2021-01-27 21:00:00,Matched reference,59.761424990336096,17.86543298939941,6.827694909447589,0.0,8.020001832999998,20.327544999999997,6.693850258489107,0.0,0.0,0.026900000000000004
2021-01-28 00:00:00,Matched reference,53.4869900080363,18.295965182165222,4.6719532395719545,0.0,8.020001832999998,20.327544999999997,2.144624753299129,0.0,0.0,0.026900000000000004
2021-01-28 03:00:00,Matched reference,58.93346837615966,14.892671062155678,2.3865010302348777,0.0,8.020001832999998,20.351945,13.255449450769104,0.0,0.0,0.026900000000000004
2021-01-28 06:00:00,Matched reference,72.19035919443765,11.227584424638241,2.606220997833593,0.6429658485191808,8.020001832999998,20.351945,19.457035,6.730047090446649,3.127659,0.026900000000000004
