timestamp,scenario,cumulative_unserved_energy_GWh
2021-01-18 00:00:00,No nuclear,0.0
2021-01-18 03:00:00,No nuclear,0.0
2021-01-18 06:00:00,No nuclear,0.0
2021-01-18 09:00:00,No nuclear,0.0
2021-01-18 12:00:00,No nuclear,0.0
2021-01-18 15:00:00,No nuclear,0.0
2021-01-18 18:00:00,No nuclear,0.0
2021-01-18 21:00:00,No nuclear,0.0
2021-01-19 00:00:00,No nuclear,0.0
2021-01-19 03:00:00,No nuclear,0.0
2021-01-19 06:00:00,No nuclear,0.0
2021-01-19 09:00:00,No nuclear,0.0
2021-01-19 12:00:00,No nuclear,0.0
2021-01-19 15:00:00,No nuclear,0.0
2021-01-19 18:00:00,No nuclear,0.0
2021-01-19 21:00:00,No nuclear,0.0
2021-01-20 00:00:00,No nuclear,0.0
2021-01-20 03:00:00,No nuclear,0.0
2021-01-20 06:00:00,No nuclear,0.0
2021-01-20 09:00:00,No nuclear,0.0
2021-01-20 12:00:00,No nuclear,0.0
2021-01-20 15:00:00,No nuclear,0.0
2021-01-20 18:00:00,No nuclear,0.0
2021-01-20 21:00:00,No nuclear,0.0
2021-01-21 00:00:00,No nuclear,0.0
2021-01-21 03:00:00,No nuclear,0.0
2021-01-21 06:00:00,No nuclear,0.0
2021-01-21 09:00:00,No nuclear,0.0
2021-01-21 12:00:00,No nuclear,0.0
2021-01-21 15:00:00,No nuclear,0.0
2021-01-21 18:00:00,No nuclear,0.0
2021-01-21 21:00:00,No nuclear,0.0
2021-01-22 00:00:00,No nuclear,0.0
2021-01-22 03:00:00,No nuclear,0.0
2021-01-22 06:00:00,No nuclear,0.0
2021-01-22 09:00:00,No nuclear,0.0
2021-01-22 12:00:00,No nuclear,0.0
2021-01-22 15:00:00,No nuclear,0.0
2021-01-22 18:00:00,No nuclear,0.0
2021-01-22 21:00:00,No nuclear,0.0
2021-01-23 00:00:00,No nuclear,0.0
2021-01-23 03:00:00,No nuclear,0.0
2021-01-23 06:00:00,No nuclear,0.0
2021-01-23 09:00:00,No nuclear,0.0
2021-01-23 12:00:00,No nuclear,0.0
2021-01-23 15:00:00,No nuclear,0.0
2021-01-23 18:00:00,No nuclear,0.0
2021-01-23 21:00:00,No nuclear,0.0
2021-01-24 00:00:00,No nuclear,0.0
2021-01-24 03:00:00,No nuclear,0.0
2021-01-24 06:00:00,No nuclear,0.0
2021-01-24 09:00:00,No nuclear,0.0
2021-01-24 12:00:00,No nuclear,0.0
2021-01-24 15:00:00,No nuclear,0.0
2021-01-24 18:00:00,No nuclear,0.0
2021-01-24 21:00:00,No nuclear,0.0
2021-01-25 00:00:00,No nuclear,0.0
2021-01-25 03:00:00,No nuclear,0.0
2021-01-25 06:00:00,No nuclear,29.27220219126799
2021-01-25 09:00:00,No nuclear,49.321507260554874
2021-01-25 12:00:00,No nuclear,61.35017552761342
2021-01-25 15:00:00,No nuclear,79.63619089924572
2021-01-25 18:00:00,No nuclear,79.63619089924572
2021-01-25 21:00:00,No nuclear,79.63619089924572
2021-01-26 00:00:00,No nuclear,79.63619089924572
2021-01-26 03:00:00,No nuclear,79.63619089924572
2021-01-26 06:00:00,No nuclear,101.18334357727306
2021-01-26 09:00:00,No nuclear,131.05024010847885
2021-01-26 12:00:00,No nuclear,159.90228555064095
2021-01-26 15:00:00,No nuclear,199.66450908147894
2021-01-26 18:00:00,No nuclear,230.2792750846907
2021-01-26 21:00:00,No nuclear,234.3534793412393
2021-01-27 00:00:00,No nuclear,234.3534793412393
2021-01-27 03:00:00,No nuclear,236.09580943605033
2021-01-27 06:00:00,No nuclear,277.2535003423944
2021-01-27 09:00:00,No nuclear,322.2441445288881
2021-01-27 12:00:00,No nuclear,363.555297536364
2021-01-27 15:00:00,No nuclear,409.9374100779056
2021-01-27 18:00:00,No nuclear,441.02018175741773
2021-01-27 21:00:00,No nuclear,443.2000891367006
2021-01-28 00:00:00,No nuclear,443.2000891367006
2021-01-28 03:00:00,No nuclear,448.0106792392099
2021-01-28 06:00:00,No nuclear,494.33686917153113
2021-01-28 09:00:00,No nuclear,548.5270844321702
2021-01-28 12:00:00,No nuclear,593.6382362450352
2021-01-28 15:00:00,No nuclear,640.7373677523551
2021-01-28 18:00:00,No nuclear,670.3334681825868
2021-01-28 21:00:00,No nuclear,673.6123349511582
2021-01-29 00:00:00,No nuclear,673.6123349511582
2021-01-29 03:00:00,No nuclear,673.6123349511582
2021-01-29 06:00:00,No nuclear,699.7540012362213
2021-01-29 09:00:00,No nuclear,728.9264679252025
2021-01-29 12:00:00,No nuclear,748.4371112140451
2021-01-29 15:00:00,No nuclear,769.9863335112049
2021-01-29 18:00:00,No nuclear,781.0987470401632
2021-01-29 21:00:00,No nuclear,781.0987470401632
2021-01-30 00:00:00,No nuclear,781.0987470401632
2021-01-30 03:00:00,No nuclear,781.0987470401632
2021-01-30 06:00:00,No nuclear,781.0987470401632
2021-01-30 09:00:00,No nuclear,795.1524220483021
2021-01-30 12:00:00,No nuclear,804.5553971568492
2021-01-30 15:00:00,No nuclear,824.1595168215218
2021-01-30 18:00:00,No nuclear,834.4711015459494
2021-01-30 21:00:00,No nuclear,834.4711015459494
2021-01-31 00:00:00,No nuclear,834.4711015459494
2021-01-31 03:00:00,No nuclear,834.4711015459494
