timestamp,technology,matched_reference_cf,severe_cf
2021-01-18 00:00:00,Onshore wind,0.14757220350049882,0.14757220350049882
2021-01-18 03:00:00,Onshore wind,0.17464563787982518,0.17464563787982518
2021-01-18 06:00:00,Onshore wind,0.22376002028868297,0.22376002028868297
2021-01-18 09:00:00,Onshore wind,0.3280596087681308,0.3280596087681308
2021-01-18 12:00:00,Onshore wind,0.4550384829891843,0.4550384829891843
2021-01-18 15:00:00,Onshore wind,0.4992385432364482,0.4992385432364482
2021-01-18 18:00:00,Onshore wind,0.5552787898766662,0.5552787898766662
2021-01-18 21:00:00,Onshore wind,0.5343973632514669,0.5343973632514669
2021-01-19 00:00:00,Onshore wind,0.5400574155130107,0.5400574155130107
2021-01-19 03:00:00,Onshore wind,0.5943566024120959,0.5943566024120959
2021-01-19 06:00:00,Onshore wind,0.6810985070781125,0.6810985070781125
2021-01-19 09:00:00,Onshore wind,0.7615933548314637,0.7615933548314637
2021-01-19 12:00:00,Onshore wind,0.7331470632518161,0.7331470632518161
2021-01-19 15:00:00,Onshore wind,0.6475457848189038,0.6475457848189038
2021-01-19 18:00:00,Onshore wind,0.6768208771565807,0.6768208771565807
2021-01-19 21:00:00,Onshore wind,0.758162768018886,0.758162768018886
2021-01-20 00:00:00,Onshore wind,0.8108414200234861,0.8108414200234861
2021-01-20 03:00:00,Onshore wind,0.8207588200503566,0.8207588200503566
2021-01-20 06:00:00,Onshore wind,0.8171753980651669,0.8171753980651669
2021-01-20 09:00:00,Onshore wind,0.7698143339206515,0.7698143339206515
2021-01-20 12:00:00,Onshore wind,0.7488849259739117,0.7488849259739117
2021-01-20 15:00:00,Onshore wind,0.7585206977392442,0.7585206977392442
2021-01-20 18:00:00,Onshore wind,0.8048836889166726,0.8048836889166726
2021-01-20 21:00:00,Onshore wind,0.8414057722700401,0.8414057722700401
2021-01-21 00:00:00,Onshore wind,0.8940434048672721,0.8940434048672721
2021-01-21 03:00:00,Onshore wind,0.943132920780968,0.943132920780968
2021-01-21 06:00:00,Onshore wind,0.9729101931756681,0.9729101931756681
2021-01-21 09:00:00,Onshore wind,0.9061416076035422,0.9061416076035422
2021-01-21 12:00:00,Onshore wind,0.83478949916264,0.83478949916264
