scenario,rank,modelled_marginal_price_EUR_per_MWh,near_VOLL
Matched reference,0,47.47082320818308,False
Matched reference,1,47.47082320818307,False
Matched reference,2,46.811863801926265,False
Matched reference,3,46.811863801926265,False
Matched reference,4,46.811863801926265,False
Matched reference,5,46.81186380192626,False
Matched reference,6,46.81186380192626,False
Matched reference,7,46.81186380192625,False
Matched reference,8,46.81186380192625,False
Matched reference,9,46.81186380192625,False
Matched reference,10,46.81186380192625,False
Matched reference,11,46.81186380192625,False
Matched reference,12,46.81186380192625,False
Matched reference,13,46.81186380192625,False
Matched reference,14,46.81186380192625,False
Matched reference,15,46.81186380192625,False
Matched reference,16,46.81186380192625,False
Matched reference,17,46.81186380192625,False
Matched reference,18,46.81186380192624,False
Matched reference,19,46.81186380192624,False
Matched reference,20,46.81186380192624,False
Matched reference,21,46.811863801926236,False
Matched reference,22,45.697629161972735,False
Matched reference,23,45.697629161972735,False
Matched reference,24,45.697629161972735,False
Matched reference,25,45.69762916197273,False
Matched reference,26,45.69762916197273,False
Matched reference,27,45.69762916197273,False
Matched reference,28,45.69762916197273,False
Matched reference,29,45.69762916197273,False
Matched reference,30,45.69762916197272,False
Matched reference,31,34.12394488676513,False
Matched reference,32,34.12393893793955,False
Matched reference,33,34.12374790590357,False
Matched reference,34,34.12372578905152,False
Matched reference,35,34.12356365517418,False
Matched reference,36,34.12329608851067,False
Matched reference,37,34.12329608851066,False
Matched reference,38,34.12329608851066,False
Matched reference,39,34.12329608851066,False
Matched reference,40,34.123296088510656,False
Matched reference,41,34.12328423503639,False
Matched reference,42,34.12328423503638,False
Matched reference,43,27.079894256003445,False
Matched reference,44,27.079894256003445,False
Matched reference,45,27.079894256003442,False
Matched reference,46,27.079894256003442,False
Matched reference,47,27.079894256003442,False
Matched reference,48,27.079894256003442,False
Matched reference,49,27.079894256003442,False
Matched reference,50,27.079894256003442,False
Matched reference,51,27.079894256003442,False
Matched reference,52,27.079894256003442,False
Matched reference,53,27.079894256003442,False
Matched reference,54,27.079894256003442,False
Matched reference,55,27.079894256003442,False
Matched reference,56,27.079894256003442,False
Matched reference,57,27.079894256003442,False
Matched reference,58,27.079894256003442,False
Matched reference,59,27.079894256003442,False
Matched reference,60,27.079894256003442,False
Matched reference,61,27.079894256003442,False
Matched reference,62,27.079894256003442,False
Matched reference,63,27.079894256003442,False
Matched reference,64,27.079894256003442,False
Matched reference,65,27.07989425600344,False
Matched reference,66,27.07989425600344,False
Matched reference,67,27.07989425600344,False
Matched reference,68,27.07989425600344,False
Matched reference,69,27.07989425600344,False
Matched reference,70,27.07989425600344,False
Matched reference,71,27.07989425600344,False
Matched reference,72,27.07989425600344,False
Matched reference,73,27.07989425600344,False
Matched reference,74,27.07989425600344,False
Matched reference,75,27.07989425600344,False
Matched reference,76,27.07989425600344,False
Matched reference,77,27.07989425600344,False
