start,end,year,i_tau,di_tau,mean_rl_mw,max_rl_mw,cumulative_rl_gwh,mean_wind_cf,mean_solar_cf,min_rolling_vre_gw,overlap_group,is_non_overlapping
2021-01-25 00:00:00,2021-02-07 23:00:00,2021,0.8944908149694355,0.8944908149694355,49196.99482331895,62608.11351707097,16530.19026063517,0.07074315476190476,0.01164017857142857,5.470156552000917,1,False
2021-01-25 01:00:00,2021-02-08 00:00:00,2021,0.8932699163008936,0.8932699163008935,49129.94323453604,62608.11351707097,16507.66092680411,0.0720077380952381,0.01164017857142857,5.470156552000917,1,False
2021-01-24 23:00:00,2021-02-07 22:00:00,2021,0.8932079304221965,0.8932079304221965,49126.64622196869,62608.11351707097,16506.55313058148,0.07209806547619048,0.01164017857142857,5.470156552000917,1,False
2021-01-25 02:00:00,2021-02-08 01:00:00,2021,0.8920588405483844,0.8920588405483844,49063.72945840754,62608.11351707097,16485.413098024936,0.07299747023809523,0.01164017857142857,5.470156552000917,1,False
2021-01-24 22:00:00,2021-02-07 21:00:00,2021,0.8920327510029785,0.8920327510029784,49062.51098278742,62608.11351707097,16485.003690216574,0.07321875,0.01164017857142857,5.470156552000917,1,False
2021-01-25 03:00:00,2021-02-08 02:00:00,2021,0.8909759202330645,0.8909759202330645,49004.83381958329,62608.11351707097,16465.624163379987,0.07378705357142856,0.01164017857142857,5.470156552000917,1,False
2021-01-24 21:00:00,2021-02-07 20:00:00,2021,0.8908307716444022,0.8908307716444023,48997.15611352358,62608.11351707097,16463.04445414392,0.07427306547619048,0.01164017857142857,5.470156552000916,1,False
2021-01-24 20:00:00,2021-02-07 19:00:00,2021,0.8897072001691643,0.889707200169164,48936.31584957606,62608.11351707097,16442.602125457553,0.0751861607142857,0.011670535714285715,5.470156552000917,1,False
2021-01-25 04:00:00,2021-02-08 03:00:00,2021,0.889575026727731,0.8895750267277309,48928.67220898305,62608.11351707097,16440.033862218304,0.0748625,0.011640178571428572,5.470156552000917,1,False
2021-01-24 19:00:00,2021-02-07 18:00:00,2021,0.8884867758089608,0.8884867758089608,48870.284426004146,62608.11351707097,16420.415567137396,0.0762141369047619,0.01172142857142857,5.470156552000917,1,False
