scenario,status,objective_meur,solve_time_s,reused
stylised-df-severe-decarb-smr-4.5-limited-flex-v4,ok,110014.05,48.6,
stylised-df-severe-decarb-smr-4.5-v4,ok,110012.56,0.0,True
