scenario,p_min_pu,ramp_per_hour_pu,ramp_per_snapshot_pu,nuclear_generation_twh,nuclear_capacity_factor_pct,min_nuclear_dispatch_gw,max_nuclear_dispatch_gw,max_upward_ramp_gw_per_snapshot,max_downward_ramp_gw_per_snapshot,minimum_output_binding_snapshots,ramp_up_binding_snapshots,ramp_down_binding_snapshots,renewable_curtailment_twh,ccgt_generation_twh,peak_load_shedding_gw,eens_gwh,eens_pct_demand,load_shedding_snapshots,co2_mt,variable_opex_excl_voll_meur,load_shedding_penalty_meur,total_operational_cost_meur,dispatch_mode,scope
Flexible SMR,0.0,0.5,1.5,1.3043,86.26,0.0,4.05,1.35,1.35,0,0,0,0.0098,9.3594,14.0134,1064.2436,5.0314,49,5.1043,764.77,106424.36,107189.14,unconstrained operational dispatch,core
Limited-flexibility SMR,0.3,0.049999999999999996,0.15,1.3172,87.12,1.35,4.05,0.225,0.225,33,35,33,0.0316,9.3594,14.0134,1064.2436,5.0314,49,5.1043,765.11,106424.36,107189.47,unconstrained operational dispatch,core
