scenario,p_min_pu,ramp_per_hour_pu,ramp_per_snapshot_pu,nuclear_generation_twh,nuclear_capacity_factor_pct,min_nuclear_dispatch_gw,max_nuclear_dispatch_gw,max_upward_ramp_gw_per_snapshot,max_downward_ramp_gw_per_snapshot,minimum_output_binding_snapshots,ramp_up_binding_snapshots,ramp_down_binding_snapshots,renewable_curtailment_twh,ccgt_generation_twh,peak_load_shedding_gw,eens_gwh,eens_pct_demand,load_shedding_snapshots,co2_mt,variable_opex_excl_voll_meur,load_shedding_penalty_meur,total_operational_cost_meur,dispatch_mode,scope
Flexible SMR,0.0,0.5,1.5,2.4629,81.44,0.0,4.05,1.35,1.35,0,0,0,0.5592,14.8819,14.0134,1088.6964,2.5471,52,7.5543,1142.92,108869.64,110012.56,unconstrained operational dispatch,full_window
Limited-flexibility SMR,0.3,0.049999999999999996,0.15,2.5464,84.21,1.35,4.05,0.225,0.225,33,35,33,0.6668,14.8819,14.0134,1088.6964,2.5471,52,7.5544,1144.41,108869.64,110014.05,unconstrained operational dispatch,full_window
